ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source,ResourceID
003e21f5-f907-4f5e-a246-5bce227e8102,UKHO ID,7441,UK Hydrographic Office,003e21f5-f907-4f5e-a246-5bce227e8102
0118b693-dee7-435c-8c80-ac7c52f9a835,UKHO ID,12038,UK Hydrographic Office,0118b693-dee7-435c-8c80-ac7c52f9a835
02546a30-5141-4b93-9df2-639e9807e099,UKHO ID,12482,UK Hydrographic Office,02546a30-5141-4b93-9df2-639e9807e099
0256f9a1-390a-43b0-97c2-ebef0d9c7e7f,UKHO ID,9951,UK Hydrographic Office,0256f9a1-390a-43b0-97c2-ebef0d9c7e7f
0272645e-089e-4d09-bb32-506703df9a63,UKHO ID,12081,UK Hydrographic Office,0272645e-089e-4d09-bb32-506703df9a63
028c5cee-597f-4d16-982b-76dd8200feb8,UKHO ID,12309,UK Hydrographic Office,028c5cee-597f-4d16-982b-76dd8200feb8
039d3c05-abc1-4bdb-affd-de0660ce9eb2,UKHO ID,7951,UK Hydrographic Office,039d3c05-abc1-4bdb-affd-de0660ce9eb2
040d7d94-d29b-46ad-9edc-53f793879035,UKHO ID,10068,UK Hydrographic Office,040d7d94-d29b-46ad-9edc-53f793879035
0478c21c-a2a8-42f5-8ab1-ea395b88fa5d,UKHO ID,12431,UK Hydrographic Office,0478c21c-a2a8-42f5-8ab1-ea395b88fa5d
048674ba-c5a3-4945-a09b-503e44b3bfd4,UKHO ID,57741,UK Hydrographic Office,048674ba-c5a3-4945-a09b-503e44b3bfd4
04f6dbfd-1fb9-4386-aaf9-3ef02d4eb46e,UKHO ID,11657,UK Hydrographic Office,04f6dbfd-1fb9-4386-aaf9-3ef02d4eb46e
05969ecb-fc38-4bcf-97ba-6d7abad065b6,UKHO ID,7431,UK Hydrographic Office,05969ecb-fc38-4bcf-97ba-6d7abad065b6
06f29ab6-2e7f-43cc-ae82-b51f53a47e46,UKHO ID,10010,UK Hydrographic Office,06f29ab6-2e7f-43cc-ae82-b51f53a47e46
07a717ee-441b-4035-addc-bc63fdf14213,UKHO ID,12121,UK Hydrographic Office,07a717ee-441b-4035-addc-bc63fdf14213
07b07b3c-1b0c-42d3-94ee-75ce596ea922,UKHO ID,12076,UK Hydrographic Office,07b07b3c-1b0c-42d3-94ee-75ce596ea922
0819a923-7cc1-4b75-acb9-540cf66510a8,UKHO ID,12347,UK Hydrographic Office,0819a923-7cc1-4b75-acb9-540cf66510a8
08624bf2-9992-4ce1-89a6-c8529b341d96,UKHO ID,12495,UK Hydrographic Office,08624bf2-9992-4ce1-89a6-c8529b341d96
092d7d16-197e-4bf0-944d-1cf668123d88,UKHO ID,9880,UK Hydrographic Office,092d7d16-197e-4bf0-944d-1cf668123d88
096e5638-9142-4056-af30-bdb3cb4433a0,UKHO ID,58576,UK Hydrographic Office,096e5638-9142-4056-af30-bdb3cb4433a0
09d0c436-bcf7-49d2-b34f-b854e863791d,UKHO ID,9977,UK Hydrographic Office,09d0c436-bcf7-49d2-b34f-b854e863791d
0a7d73ae-85d5-4adb-843e-f136c89e316c,UKHO ID,10026,UK Hydrographic Office,0a7d73ae-85d5-4adb-843e-f136c89e316c
0ae4a874-1385-4499-8c53-7b1190733521,UKHO ID,11902,UK Hydrographic Office,0ae4a874-1385-4499-8c53-7b1190733521
0b0d4c6b-4a0d-4e7d-8854-bad4a94fefa5,UKHO ID,12283,UK Hydrographic Office,0b0d4c6b-4a0d-4e7d-8854-bad4a94fefa5
0b44a216-27c4-41b9-b9d6-058a6559d4e9,UKHO ID,7225,UK Hydrographic Office,0b44a216-27c4-41b9-b9d6-058a6559d4e9
0b44b291-db46-4084-bb54-8fe6076fc286,UKHO ID,7496,UK Hydrographic Office,0b44b291-db46-4084-bb54-8fe6076fc286
0b5fe929-c5fa-4f89-8220-dc0080bd896a,UKHO ID,10047,UK Hydrographic Office,0b5fe929-c5fa-4f89-8220-dc0080bd896a
0b9b69c8-d10c-43a3-b5b7-59856b6c9bde,UKHO ID,9853,UK Hydrographic Office,0b9b69c8-d10c-43a3-b5b7-59856b6c9bde
0c0c0ee2-b369-4f51-8212-68fe1025becd,UKHO ID,7466,UK Hydrographic Office,0c0c0ee2-b369-4f51-8212-68fe1025becd
0c1180ee-5f24-4e0b-ba5d-967e938ec71e,UKHO ID,9850,UK Hydrographic Office,0c1180ee-5f24-4e0b-ba5d-967e938ec71e
0c1e56c6-d389-4543-ba82-bfe2b31e407d,UKHO ID,12154,UK Hydrographic Office,0c1e56c6-d389-4543-ba82-bfe2b31e407d
0c23ef6b-630d-4c06-93ae-81d3847f1cb3,UKHO ID,16128,UK Hydrographic Office,0c23ef6b-630d-4c06-93ae-81d3847f1cb3
0c559d38-3cf0-4522-a244-107430900e7e,UKHO ID,8222,UK Hydrographic Office,0c559d38-3cf0-4522-a244-107430900e7e
0c75231d-cdaa-4ed0-9e85-4d75a682fd90,UKHO ID,7188,UK Hydrographic Office,0c75231d-cdaa-4ed0-9e85-4d75a682fd90
0d46e463-e2f9-497c-b34b-066f0c909094,UKHO ID,12471,UK Hydrographic Office,0d46e463-e2f9-497c-b34b-066f0c909094
0dabed56-dd8a-402b-8582-1fabdd1adc33,UKHO ID,12113,UK Hydrographic Office,0dabed56-dd8a-402b-8582-1fabdd1adc33
0dbf92d7-7175-44b8-b4cb-9bbfb4c364a0,UKHO ID,9925,UK Hydrographic Office,0dbf92d7-7175-44b8-b4cb-9bbfb4c364a0
0e000708-ae32-4c3a-a2ab-651b7943dd04,UKHO ID,10031,UK Hydrographic Office,0e000708-ae32-4c3a-a2ab-651b7943dd04
0e6d710e-70c0-4b5f-a4cc-d659732e4b3c,UKHO ID,9914,UK Hydrographic Office,0e6d710e-70c0-4b5f-a4cc-d659732e4b3c
0ea11f58-3b65-4a86-b7af-8d241bf161e8,UKHO ID,57798,UK Hydrographic Office,0ea11f58-3b65-4a86-b7af-8d241bf161e8
0ece1808-372b-40b2-9a4f-c6c20e6f2742,UKHO ID,7711,UK Hydrographic Office,0ece1808-372b-40b2-9a4f-c6c20e6f2742
0f6bef0a-3bd8-47e2-87e5-e50157bb0c5f,UKHO ID,10110,UK Hydrographic Office,0f6bef0a-3bd8-47e2-87e5-e50157bb0c5f
0f71e1d9-43c0-49a0-875d-3bcfe9d6a4c0,UKHO ID,7360,UK Hydrographic Office,0f71e1d9-43c0-49a0-875d-3bcfe9d6a4c0
0f8335de-624d-4df9-8189-43abb42cce8f,UKHO ID,11643,UK Hydrographic Office,0f8335de-624d-4df9-8189-43abb42cce8f
101c3eb8-f9d3-4833-bc8d-183b1ef88486,UKHO ID,10116,UK Hydrographic Office,101c3eb8-f9d3-4833-bc8d-183b1ef88486
10676bfc-ff0a-4848-9a4e-93106eb80c45,UKHO ID,7153,UK Hydrographic Office,10676bfc-ff0a-4848-9a4e-93106eb80c45
10983eaa-80f4-44d9-969a-6726f0447256,UKHO ID,8155,UK Hydrographic Office,10983eaa-80f4-44d9-969a-6726f0447256
10ee8f29-7478-4423-88fe-b50a9d1c0e6a,UKHO ID,12139,UK Hydrographic Office,10ee8f29-7478-4423-88fe-b50a9d1c0e6a
11175d55-5f62-4a5c-a086-a65e9efce6d1,UKHO ID,10105,UK Hydrographic Office,11175d55-5f62-4a5c-a086-a65e9efce6d1
