ResourceID,Associated_Monuments,NPRN,Community,Description,Description_Type,ENTER_BY,ENTRYDATE,External_Identifier_Type,External_Source,Geometry,KMSQ,LASTUPDATE,Location_Accuracy,Mapsheet,Name_Type,NMRW_Cultural_Period,NMRW_Evidence,NMRW_External_XRef,NMRW_Heritage_Resource_Type,NMRW_Name,NMRW_RCAHMW_Class,Notes,Old_County,OSGB_Grid_Reference,Possible_Evidence,Possible_Period,Possible_RCCLASS,Possible_Type,Preference_Type,Preferred_Period,Relationship_type,Type Note,Unitary_Authority,UPD_BY,ResourceID
705317,,705317,Treorchy,"Industrial Estate, S of Treorchy",English Description,MP,,,,POINT (-3.4990151 51.655459),SS9696,,Grid reference taken at a central point within extensive site or complex,SS99NE,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Cae Mawr Industrial Estate, Treorchy",,,Glamorgan,SS9640096250,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Glamorgan,MP,705317
705318,,705318,Llanfairfechan,"Most of Traeth Llafan is designated as a Local Nature Reserve. It consists of an extensive area of intertidal sand, mud flats, and freshwater streams which serves as an important habitat for waterbirds like oystercatchers, curlews and great crested grebes. 'The flats have been used as an area for shell fishing since prehistoric times' and today  'shellfish, primarily cockles, are harvested spasmodically' on Traeth Lafan. M. Ryder, RCAHMW, August 2022",English Description,MP,,,,POINT (-4.0023834 53.250672),SH6674,,Grid reference taken at a central point within extensive site or complex,SH67SE,No preference,20th Century,Documents,,LANDSCAPE,"Traeth Lafan, Llanfairfechan",,,Caernarfonshire,SH6650074500,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Caernarfonshire,MP,705318
705319,,705319,Conwy,"Industrial Estate N of A55, SE of Llandudno Junction",English Description,MP,,,,POINT (-3.8012912 53.280851),SH8077,,Grid reference taken at a central point within extensive site or complex,SH87NW,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Tre Marl Industrial Estate, Llandudno Junction",,,Caernarfonshire,SH8000077500,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Caernarfonshire,MP,705319
705320,,705320,Mold,"Industrial Estate N of A494, S Mold",English Description,MP,,,,POINT (-3.1395127 53.15642),SJ2362,,Grid reference taken at a central point within extensive site or complex,SJ26SW,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Trebeirdd Business Park, Mold",,,Flintshire,SJ2390062750,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Flintshire,MP,705320
705321,,705321,Tredegar,"Industrial Estate W of A4048, Tredegar",English Description,MP,,,,POINT (-3.2420945 51.775799),SO1409,,Grid reference taken at a central point within extensive site or complex,SO10NW,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,Tredegar Business Park,,,Monmouthshire,SO1440009300,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Monmouthshire,MP,705321
705322,,705322,Tredegar,"On 24 March 1994 'Construction News' reported that work on the A4048 Tredegar Bypass was to commenct that month. The contract was awarded by Gwent County Council to Tarmac Regional Civil Engineering. Construction News described the bypass as 'three miles of single carriageway, including six bridges and six roundabouts with a spur road to the town centre.' The work was schedulded to take 18 months, and cost £6.5 million. M. Ryder, RCAHMW, August 2022",English Description,MP,,,,POINT (-3.2405715 51.773117),SO1409,,Grid reference taken at a central point within extensive site or complex,SO10NW,No preference,20th Century,Documents,,ROAD,Tredegar Bypass Route,,,Monmouthshire,SO1450009000,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Monmouthshire,MP,705322
705323,,705323,Gelligaer,"Office units, N of A472, constructed on the site of the former Tredomen Engineering Works (NPRN 260004), NW of Tredomen, Ystrad Mynach",English Description,MP,,,,POINT (-3.2515198 51.64487),ST1394,,Grid reference taken at a central point within extensive site or complex,ST19SW,No preference,20th Century,Documents,,OFFICE,"Tredomen Business Park, Ystrad Mynach",,,Glamorgan,ST1350094750,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Glamorgan,MP,705323
705324,,705324,Machynlleth,"Industrial Estate, W of Forge Road, Machynlleth",English Description,MP,,,,POINT (-3.8435942 52.590037),SH7500,,Grid reference taken at a central point within extensive site or complex,SH70SE,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Treowain Enterprise Park, Machynlleth",,,Montgomeryshire,SH7520600734,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Montgomeryshire,MP,705324
705325,,705325,Llandygai,"Industrial Estate, SW of Bethesda",English Description,MP,,,,POINT (-4.0734645 53.177784),SH6166,,Grid reference taken at a central point within extensive site or complex,SH66NW,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Coed y Parc Industrial Estate, Bethesda",,,Caernarfonshire,SH6152366528,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Caernarfonshire,MP,705325
705326,,705326,Troed-y-Rhiw,"Retail park, built on the site of the Pentrenbach Triangle group of terraced houses (NPRN 410018), S of A4060",English Description,MP,,,,POINT (-3.3639032 51.72949),SO0504,,Grid reference taken at a central point within extensive site or complex,SO00SE,No preference,20th Century,Documents,,SHOPPING CENTRE,"Triangle Business Park, Pentrebach",,,Glamorgan,SO0590004300,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Glamorgan,MP,705326
