NUMLINK,ResourceID,NMRW_RCAHMW_Class,Possible_RCCLASS
6057739,1,15D,Not Applicable
6057739,1,15F,Not Applicable
6028937,2,9A,Not Applicable
6028937,2,10F,Not Applicable
6021985,3,10C,Not Applicable
6039228,5,13D,Not Applicable
6039230,6,18D,Not Applicable
6055094,7,10C,Not Applicable
6061760,8,9C,Not Applicable
6061760,8,9B,Not Applicable
6006910,10,10C,Not Applicable
6006929,11,9C,Not Applicable
6057120,12,8F,Not Applicable
6023266,13,8B,Not Applicable
6000621,14,8C,Not Applicable
6050901,15,10D,Not Applicable
6050077,16,10D,Not Applicable
6047680,17,10C,Not Applicable
6049972,18,10C,Not Applicable
6015730,19,16E,Not Applicable
6062655,21,12D,Possible Type
6058556,29,13D,Not Applicable
6057740,30,10C,Not Applicable
6039491,31,15D,Not Applicable
6007416,32,10C,Not Applicable
6059109,33,10C,Not Applicable
6059109,33,9C,Not Applicable
6021986,34,16C,Not Applicable
6021991,36,10C,Not Applicable
6021987,37,10C,Not Applicable
6021990,38,13D,Not Applicable
6021989,39,13D,Not Applicable
6021988,40,13D,Not Applicable
6021992,41,18D,Not Applicable
6021995,42,13D,Not Applicable
6021994,43,18D,Not Applicable
6021993,44,18B,Not Applicable
6001589,45,10B,Not Applicable
6001739,46,10A,Not Applicable
6001739,46,10B,Not Applicable
6001741,47,7F,Not Applicable
6001741,47,12B,Not Applicable
6001752,48,3D,Not Applicable
6001752,48,10B,Not Applicable
6001590,49,10B,Not Applicable
6001592,50,10C,Not Applicable
6001591,51,12C,Not Applicable
6001609,52,16B,Not Applicable
6001610,53,10C,Not Applicable
6001748,54,12B,Not Applicable
6001615,55,10B,Not Applicable
6001611,56,10B,Not Applicable
6001614,57,12C,Not Applicable
6001751,58,12B,Not Applicable
6001740,59,12B,Not Applicable
6001612,60,12B,Not Applicable
6001613,61,10C,Not Applicable
6001616,62,10B,Not Applicable
6001750,63,12B,Not Applicable
6001617,64,10C,Not Applicable
6001749,65,12C,Not Applicable
6001634,66,10C,Not Applicable
6001633,67,10B,Not Applicable
6001746,68,12B,Not Applicable
6001747,69,12B,Not Applicable
6001632,70,10C,Not Applicable
6001631,71,10B,Not Applicable
6001630,72,10B,Not Applicable
6001626,73,10C,Not Applicable
6001625,75,10C,Not Applicable
6001624,76,12B,Not Applicable
6001623,77,10C,Not Applicable
6020963,78,16B,Not Applicable
6020964,79,10C,Not Applicable
6020969,80,10C,Not Applicable
6020965,81,2C,Not Applicable
6020968,82,7F,Not Applicable
6000101,83,2C,Not Applicable
6020967,84,12B,Not Applicable
6020966,85,12B,Not Applicable
6028954,86,9C,Not Applicable
6028954,86,10G,Not Applicable
6051146,89,10F,Not Applicable
6058604,90,13D,Not Applicable
6043971,91,12B,Not Applicable
6034671,92,12B,Not Applicable
6044418,93,1D,Not Applicable
6043973,94,12B,Not Applicable
6033994,95,2C,Not Applicable
6041232,96,1D,Not Applicable
6044167,97,2B,Not Applicable
6047262,98,1D,Not Applicable
6047263,100,2C,Not Applicable
6034075,101,2B,Not Applicable
6034317,102,2C,Not Applicable
6043972,103,2C,Not Applicable
6033976,104,2C,Not Applicable
6033976,104,2B,Not Applicable
6033768,105,3D,Not Applicable
6058049,106,13D,Not Applicable
6017056,107,13D,Not Applicable
6029805,108,13D,Not Applicable
6031258,109,18C,Not Applicable
6057515,110,10C,Not Applicable
6010774,111,10F,Not Applicable
6059726,113,10C,Not Applicable
6034921,115,15B,Not Applicable
6039492,116,18E,Not Applicable
6015222,120,10C,Not Applicable
6009064,121,9C,Not Applicable
6041239,122,10C,Not Applicable
6014419,124,18D,Not Applicable
6051835,125,10C,Not Applicable
6013574,126,8C,Not Applicable
6023411,127,9D,Not Applicable
6001622,128,10B,Not Applicable
6062872,129,10C,Not Applicable
6059479,130,10C,Not Applicable
6059110,131,8C,Not Applicable
6055236,132,8B,Not Applicable
6054511,133,8B,Not Applicable
6043613,135,10C,Not Applicable
6056181,136,8F,Not Applicable
6059112,137,10F,Not Applicable
6039229,138,10F,Not Applicable
6059727,139,10F,Not Applicable
6059480,140,10C,Not Applicable
6059481,141,10C,Not Applicable
6054832,142,10C,Not Applicable
6056094,143,8B,Not Applicable
6054057,144,10F,Not Applicable
6053621,145,10F,Not Applicable
6053622,146,10F,Not Applicable
6058781,147,18B,Not Applicable
6054356,148,8F,Not Applicable
6053362,149,8F,Not Applicable
6055859,150,8C,Not Applicable
6055862,151,8E,Not Applicable
6057519,152,8C,Not Applicable
6057534,153,8C,Not Applicable
6056096,154,8C,Not Applicable
6054833,155,8C,Not Applicable
6054357,156,8C,Not Applicable
6059937,157,8C,Not Applicable
6055376,158,8C,Not Applicable
6056645,159,8C,Not Applicable
6060317,160,8C,Not Applicable
6056190,161,8C,Not Applicable
6052509,162,8C,Not Applicable
6054838,163,8C,Not Applicable
6056189,164,8C,Not Applicable
6057762,165,10C,Not Applicable
6054649,166,18D,Not Applicable
6059111,167,10F,Not Applicable
6059414,168,10F,Not Applicable
6058605,169,11F,Not Applicable
6057316,170,8C,Not Applicable
6055651,171,8C,Not Applicable
6059113,172,8C,Not Applicable
6054058,173,8C,Not Applicable
6054650,174,8C,Not Applicable
6059413,175,8C,Not Applicable
6054513,177,18D,Not Applicable
6055810,178,18B,Not Applicable
6055811,179,18B,Not Applicable
6053164,180,18B,Not Applicable
6055251,181,15C,Not Applicable
6052418,182,16D,Not Applicable
6052418,182,10C,Not Applicable
6053672,183,18B,Not Applicable
6001621,186,12B,Not Applicable
6051922,187,10C,Not Applicable
6030379,188,10C,Not Applicable
6019376,189,8C,Not Applicable
6028034,191,10C,Not Applicable
6028037,192,8C,Not Applicable
6022192,193,8C,Not Applicable
6003241,194,8C,Not Applicable
6001835,195,8C,Not Applicable
6001889,196,8C,Not Applicable
6001990,197,8C,Not Applicable
6004922,198,8C,Not Applicable
6002866,199,8C,Not Applicable
6002117,200,8C,Not Applicable
6003242,201,8C,Not Applicable
6002867,202,8C,Not Applicable
6003243,203,8C,Not Applicable
6002780,204,8C,Not Applicable
6002197,205,8C,Not Applicable
6001998,206,8C,Not Applicable
6002063,207,8C,Not Applicable
6002868,208,8C,Not Applicable
6005281,209,8C,Not Applicable
6004926,210,8C,Not Applicable
6003320,211,8C,Not Applicable
6003172,212,8C,Not Applicable
6041867,213,8C,Not Applicable
6044168,214,8C,Not Applicable
6041870,215,8C,Not Applicable
6044169,216,8C,Not Applicable
6044607,217,8C,Not Applicable
6044506,218,8C,Not Applicable
6005020,219,8C,Not Applicable
6026891,220,8C,Not Applicable
6017145,221,8C,Not Applicable
6014334,222,8C,Not Applicable
6014044,223,8C,Not Applicable
6022950,224,8C,Not Applicable
6024352,225,8C,Not Applicable
6020732,226,8C,Not Applicable
6020811,227,8C,Not Applicable
6022051,228,8C,Not Applicable
6022562,229,8C,Not Applicable
6022515,230,8C,Not Applicable
6022516,231,8C,Not Applicable
6023081,232,8C,Not Applicable
6020733,233,8C,Not Applicable
6022135,234,8C,Not Applicable
6023005,235,8C,Not Applicable
6042707,236,8C,Not Applicable
6042711,237,8C,Not Applicable
6003321,238,8C,Not Applicable
6001944,239,5E,Not Applicable
6001944,239,8C,Not Applicable
6023113,240,12C,Not Applicable
6057062,241,8C,Not Applicable
6010580,244,8C,Not Applicable
6052172,245,10C,Not Applicable
6052172,245,8C,Not Applicable
6052176,246,18B,Not Applicable
6052174,247,8B,Not Applicable
6029260,248,10C,Not Applicable
6030169,249,10C,Not Applicable
6046163,250,10C,Not Applicable
6051549,251,10C,Not Applicable
6051549,251,10F,Not Applicable
6055489,252,10C,Not Applicable
6055237,253,10C,Not Applicable
6007075,254,10C,Not Applicable
6048529,255,10C,Not Applicable
6001934,256,5B,Not Applicable
6019372,257,10C,Not Applicable
6029829,258,10C,Not Applicable
6027923,259,10C,Not Applicable
6044925,260,3B,Possible Type
6001991,261,10C,Not Applicable
6027739,263,8C,Not Applicable
6011752,265,10C,Not Applicable
6055624,266,10C,Not Applicable
6028189,267,10C,Not Applicable
6049355,268,10C,Not Applicable
6010916,269,10C,Not Applicable
6028120,270,8C,Not Applicable
6029228,271,8C,Not Applicable
6029227,272,10F,Not Applicable
6028953,274,10F,Not Applicable
6030658,275,10C,Not Applicable
6030669,278,10C,Not Applicable
6030668,279,10C,Not Applicable
6030659,280,10D,Not Applicable
6028486,281,8C,Not Applicable
6014813,282,10C,Not Applicable
6046005,283,10C,Not Applicable
6024108,284,2C,Not Applicable
6022194,285,2C,Not Applicable
6031069,286,2B,Not Applicable
6038642,287,10C,Not Applicable
6046010,288,10C,Not Applicable
6024794,289,10C,Not Applicable
6024795,290,10C,Not Applicable
6050597,291,10C,Not Applicable
6008105,292,10C,Not Applicable
6050475,293,10C,Not Applicable
6049041,294,10C,Not Applicable
6049041,294,10D,Not Applicable
6051550,295,10F,Not Applicable
6051568,296,10C,Not Applicable
6051565,297,10F,Not Applicable
6001777,298,8F,Not Applicable
6043392,299,10C,Not Applicable
6016171,300,10C,Not Applicable
6013677,301,10C,Not Applicable
6032974,302,15B,Not Applicable
6015065,304,8B,Not Applicable
6049771,305,10C,Not Applicable
6020019,306,8C,Not Applicable
6056095,308,10C,Not Applicable
6049358,309,10C,Not Applicable
6047682,310,10F,Not Applicable
6052177,311,10C,Not Applicable
6046164,312,10C,Not Applicable
6019111,313,10F,Not Applicable
6011586,314,10C,Not Applicable
6055377,316,10D,Not Applicable
6059114,317,10C,Not Applicable
6025980,318,10C,Not Applicable
6012330,319,10C,Not Applicable
6042206,320,10C,Not Applicable
6007702,321,18E,Not Applicable
6050207,322,10C,Not Applicable
6049781,323,10C,Not Applicable
6059628,324,8C,Not Applicable
6057708,325,8C,Not Applicable
6059627,326,8C,Not Applicable
6055615,327,15C,Not Applicable
6057414,328,11E,Not Applicable
6021515,329,18B,Not Applicable
6021515,329,9F,Not Applicable
6049780,340,10C,Not Applicable
6049551,341,10C,Not Applicable
6042020,342,10C,Not Applicable
6009557,344,2C,Not Applicable
6009559,347,10B,Not Applicable
6009558,348,1D,Not Applicable
6009560,349,2B,Not Applicable
6007428,351,10C,Not Applicable
6041321,352,10F,Not Applicable
6010581,353,10C,Not Applicable
6001360,354,19A,Not Applicable
6025630,355,10C,Not Applicable
6009065,356,10C,Not Applicable
6009066,357,11E,Not Applicable
6010788,358,8C,Not Applicable
6062825,359,8B,Not Applicable
6054059,360,10F,Not Applicable
6054059,360,10C,Not Applicable
6041318,361,11E,Not Applicable
6041320,362,10C,Not Applicable
6052462,370,18G,Not Applicable
6009067,372,10F,Not Applicable
6009067,372,8B,Not Applicable
6010215,373,10C,Not Applicable
6018115,374,8C,Not Applicable
6007427,375,10C,Not Applicable
6030960,376,10C,Not Applicable
6050078,377,8C,Not Applicable
6003866,378,10C,Not Applicable
6054388,379,17F,Not Applicable
6025079,380,18G,Not Applicable
6026124,381,18G,Not Applicable
6026136,382,18G,Not Applicable
6026137,383,18G,Not Applicable
6025080,384,18G,Not Applicable
6052463,386,18G,Not Applicable
6019715,389,18G,Not Applicable
6005282,390,18G,Not Applicable
6001175,391,18G,Not Applicable
6024907,393,10C,Not Applicable
6039500,394,8C,Not Applicable
6015066,395,15B,Not Applicable
6013575,397,3B,Not Applicable
6060226,398,10C,Not Applicable
6012286,399,11F,Not Applicable
6007637,400,11B,Not Applicable
6047113,401,10C,Not Applicable
6048098,402,10C,Not Applicable
6048086,403,10C,Not Applicable
6062036,404,10F,Not Applicable
6062798,405,18E,Not Applicable
6062038,406,8B,Not Applicable
6062038,406,9E,Not Applicable
6062743,407,9E,Not Applicable
6062743,407,10C,Not Applicable
6062865,408,10B,Not Applicable
6050714,409,10B,Not Applicable
6001992,410,10C,Not Applicable
6020270,411,18G,Not Applicable
6005284,412,10D,Not Applicable
6050208,413,10C,Not Applicable
6033881,414,13D,Not Applicable
6005510,415,8C,Not Applicable
6018229,416,8C,Not Applicable
6052891,417,9C,Not Applicable
6025992,418,8C,Not Applicable
6025993,419,8C,Not Applicable
6026135,420,8C,Not Applicable
6026126,421,11F,Not Applicable
