NUMLINK,ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source
6021985,3,LB2,82527,Cadw
6061760,8,PRN,00249g,Glamorgan-Gwent Historic Environment Record
6061760,8,SAM,MM059,Cadw
6057740,30,LB2*,13503,Cadw
6007416,32,LB2*,3651,Cadw
6059109,33,LB1,13662,Cadw
6059109,33,SAM,GM171,Cadw
6021986,34,LB2,82526,Cadw
6028954,86,LB1,10313,Cadw
6028954,86,SAM,CD008,Cadw
6024379,87,PRN,31503,Dyfed Historic Environment Record
6024379,87,SAM,CD280,Cadw
6034671,92,SAM,BR371,Cadw
6044418,93,SAM,BR029,Cadw
6033994,95,SAM,BR071,Cadw
6041232,96,SAM,BR011,Cadw
6044167,97,SAM,BR129,Cadw
6047262,98,SAM,BR016,Cadw
6047263,100,SAM,BR113,Cadw
6034075,101,SAM,BR107,Cadw
6043972,103,PRN,3856,Clwyd-Powys Historic Environment Record
6043972,103,SAM,BR374,Cadw
6033976,104,SAM,BR070,Cadw
6033768,105,SAM,BR256,Cadw
6017056,107,SAM,DE238,Cadw
6031258,109,LB2*,80809,Cadw
6031258,109,SAM,GM396,Cadw
6015222,120,LB2*,25259,Cadw
6009064,121,LB1,3250,Cadw
6009064,121,GAM,CN004,Cadw
6013574,126,LB2*,7633,Cadw
6023411,127,LB1,26434,Cadw
6023411,127,SAM,PE007,Cadw
6059479,130,LB1,14864,Cadw
6059110,131,LB1,13710,Cadw
6055236,132,SAM,GM005,Cadw
6054511,133,GAM,GM006,Cadw
6054511,133,SAM,GM006,Cadw
6059112,137,LB2*,13654,Cadw
6039229,138,LB2*,11490,Cadw
6059727,139,LB2,13381,Cadw
6059481,141,LB2,13790,Cadw
6056094,143,SAM,GM190,Cadw
6054057,144,LB1,14594,Cadw
6053621,145,LB2*,11643,Cadw
6053622,146,LB2*,11653,Cadw
6058781,147,LB2*,13443,Cadw
6055859,150,LB1,13162,Cadw
6055862,151,LB1,81314,Cadw
6055862,151,SAM,GM210,Cadw
6057519,152,LB1,13641,Cadw
6056096,154,LB1,11252,Cadw
6054357,156,PRN,01768w,Glamorgan-Gwent Historic Environment Record
6054357,156,LB2*,11818,Cadw
