NUMLINK,ResourceID,Community,Unitary_Authority,Old_County
710074,710074,Abercarn,Caerphilly,Glamorgan
710075,710075,Aberdare,"Rhondda, Cynon, Taff",Glamorgan
710076,710076,Aberdare,"Rhondda, Cynon, Taff",Glamorgan
710077,710077,Aberdovey,Gwynedd,Merioneth
710078,710078,Abergavenny,Monmouthshire,Monmouthshire
710079,710079,Abergele,Conwy,Denbighshire
710080,710080,Ynysawdre,Bridgend,Glamorgan
710081,710081,Ynysawdre,Bridgend,Glamorgan
710082,710082,Trevethin,Torfaen,Monmouthshire
710083,710083,Abertillery,Blaenau Gwent,Monmouthshire
710084,710084,Aberystwyth,Ceredigion,Cardiganshire
710085,710085,Amlwch,Isle of Anglesey,Anglesey
710086,710086,Ammanford,Carmarthenshire,Carmarthenshire
710087,710087,Bala,Gwynedd,Merioneth
710088,710088,Bargoed,Caerphilly,Glamorgan
710089,710089,Bargoed,Caerphilly,Glamorgan
710090,710090,Barry,The Vale of Glamorgan,Glamorgan
710091,710091,Barry,The Vale of Glamorgan,Glamorgan
710092,710092,Beaumaris,Isle of Anglesey,Anglesey
710093,710093,Bedlinog,Merthyr Tydfil,Glamorgan
710094,710094,Tredegar,Blaenau Gwent,Monmouthshire
710095,710095,Bethesda,Gwynedd,Caernarfonshire
710096,710096,Betws-y-coed,Conwy,Caernarfonshire
710097,710097,Blackwood,Caerphilly,Glamorgan
710098,710098,Blackwood,Caerphilly,Glamorgan
710099,710099,Ffestiniog,Gwynedd,Caernarfonshire
710100,710100,Blaenavon,Torfaen,Monmouthshire
710101,710101,Nantyglo and Blaina,Blaenau Gwent,Monmouthshire
710102,710102,Brecon,Powys,Brecknockshire
710103,710103,Bridgend,Bridgend,Glamorgan
710104,710104,Bridgend,Bridgend,Glamorgan
710105,710105,Bridgend,Bridgend,Glamorgan
710106,710106,Briton Ferry,"Neath, Port Talbot","Neath, Port Talbot"
710107,710107,Brymbo,Wrexham,Denbighshire
710108,710108,Buckley,Flintshire,Flintshire
710109,710109,Builth,Powys,Brecknickshire
710110,710110,Splott,Cardiff,Glamorgan
710111,710111,Caerau,Cardiff,Glamorgan
710112,710112,Caernarfon,Gwynedd,Caernarfonshire
710113,710113,Caerphilly,Caerphilly,Glamorgan
710114,710114,Caerphilly,Caerphilly,Glamorgan
710115,710115,Castle (Cardiff),Cardiff,Glamorgan
710116,710116,Castle (Cardiff),Cardiff,Glamorgan
710117,710117,Cardigan,Ceredigion,Cardiganshire
710118,710118,Carmarthen,Carmarthenshire,Carmarthenshire
710119,710119,Cefn,Wrexham,Denbighshire
710120,710120,Chepstow,Monmouthshire,Monmouthshire
710121,710121,Chepstow,Monmouthshire,Monmouthshire
710122,710122,Chirk,Wrexham,Denbighshire
710123,710123,Clydach,Swansea,Glamorgan
710124,710124,Colwyn Bay,Conwy,Denbighshire
710125,710125,Connahs Quay,Flintshire,Flintshire
710126,710126,Conwy,Conwy,Caernarfonshire
710127,710127,Conwy,Conwy,Caernarfonshire
710128,710128,Cowbridge with Llanblethian,The Vale of Glamorgan,Glamorgan
710129,710129,Crickhowell,Powys,Brecknockshire
710130,710130,Crumlin,Caerphilly,Glamorgan
710131,710131,Crumlin,Caerphilly,Glamorgan
710132,710132,Cwmavon,"Neath, Port Talbot","Neath, Port Talbot"
710133,710133,Cwmbran Central,Torfaen,Monmouthshire
710134,710134,Denbigh,Denbighshire,Denbighshire
710135,710135,Dowlais,Merthyr Tydfil,Glamorgan
710136,710136,Ebbw Vale,Blaenau Gwent,Monmouthshire
710137,710137,Ferndale,"Rhondda, Cynon, Taff",Glamorgan
710138,710138,Fishguard and Goodwick,Pembrokeshire,Pembrokeshire
710139,710139,Flint,Flintshire,Flintshire
