NUMLINK,ResourceID,Description,Description_Type
710074,710074,"The original gasworks was on Dan-Y-Rhiw terrace, which had consisted of a horizontal retort house and two gasholders, one of which was later used as an underground tar and liquor tank. The site expanded across the River Ebbw, where two larger gasholders were built, both having a 250,000 capacity. <br><br>
The Western Mail from the 21st of November 1876 reported on the formation of the company” On the 25th of January last the Abercarn and Newbridge Gas and Water Company, Limited, was formed to supply Abercarn and Newbridge with gas and water. The subject had been several times mooted, for the district was known to be growing, and both gas and water were felt to be requisites which could not be done without. A few earnest men connected with the district put their heads together, and, after some encouragement was given to the project by Lady Llanover, the company was formed on the day above named. The capital was fixed at £10,000 in 2,000 shares of £5 each.”,” Half-an-acre of land was purchased from Lady Llanover, on advantageous terms, between Hall's Tramway and the river Ebbw”,” Mr. Dyne Steel designed the works, which have been built most substantially, and with every necessary for increasing their capacity when the time arrives. The works consist of a retort house, 23ft. 6ins. by 25ft., and has accommodation for three benches of live retorts each. At present eight retorts are at work, leaving the remainder for future extension. From the retorts the gas passes into the condenser and scrubber. The gasholder is 46ffc. diameter, and 12ft. deep, and is equal to a very large consumption of gas. The mains are graduated from seven to two inches in diameter, according to the position they occupy. The mains have been carried along the roads, with the permission of the highway authorities and the overseers. Mr. Robert Roberts, of Newport, has carried out the buildings in a satisfactory manner, the stone for which has been obtained from the Pennant rock at Abercarn, the quoins and arches being of fire bricks. The gas-making plant has been supplied by Messrs. Porter and Company, Lincoln, and has been, well set up by Mr. E. Woodthorpe, their agent. The retort mouth pieces are Tangye's patent. The mains were made by Mr. Charles Jordan, of Newport, and they were laid by Mr. Jesse Bailey, of Abercarn.”. The company being promoted by the Abercarn Colliery and the Tinplate Works. The contractor for the gasworks was Charles Jordan of Newport and the laying of the gas mains was contracted to Jesse Bailey of the Abercarn Colliery, who was also active in procuring lamp posts for the company.  The Abercarn & Newbridge Gas & Water Company Ltd. was incorporated by a SA in 1884. At this time J. T. Green was the Chairman and David Bowen, the Secretary of the company. 'Abercarn & Newbridge' were one of the towns where the gas engineers J. T. B. Porter & Co. of Lincoln listed that they had built complete gasworks, in an advert published in 1878. <br><br>
By 1900 the company was making 17m cu.ft. from 2,285 tons of coal annually and supplying 214 consumers and 200 public gas lamps, through 8 miles of mains. Charles Jones was the Manager and David Bowen, the Secretary.<br><br>
A SA of 1902 enabled the Abercarn UDC to purchase the company. The council run gas department was making 38m cu.ft. of gas per year from 3,368 tons of coal, supplied via a rail siding into the works from the GWR. Thomas Wilkinson was both the Engineer & Manager. Between 1919 and 1923 two Tully gas plants, each capable of producing 150,000 cu.ft./day of gas were supplied by Tully Gas Plants Ltd., Newark, according to a company advert dated Sept 1923. In 1946 a Bulk Supply Agreement was signed with the Pontypool Gas & Water Co. and an 8"" high pressure main was laid to Abercarn from Cwmbran, which was itself fed from Pontypool. Much of the gas came from coke ovens at Blaenavon.<br><br>
By 1947 the amount of gas purchased (46m cu.ft.) was greater than that made at the gasworks (27m cu.ft.). By 1949, the year the gas industry was nationalised 84m cu.ft. of gas was being purchased, although the gasworks still had Horizontal retorts. T. Wilkinson was the Engineer, Manager & Secretary for the undertaking. The undertaking was vested in the Wales Gas Board in 1949 following nationalisation. In 1952 the “Gas World Year Book”, showed that Abercarn was purchasing 160m cu.ft. of gas from other works and no gas manufacture was being undertaken. T. Wilkinson was the engineer, manager & secretary. The gasholders were still in operation in 1983. Photographs of the gasworks and later gasholder station in 1983 survive at the National Grid Gas Archive.   An additional gasholder is present on south side of river by 1916 (321226,195062) were present until 1993. Original site gone by 1981. The gasworks were visible on the OS maps from 1879 to 1993.",English Description
710075,710075,"The first gasworks in the Aberdare area were built by the Aberdare Gas Company at Tudor Place, Abergwawr in 1849. The original gasmaking plant was supplied by the Neath Abbey Ironworks; whose drawings are held by the West Glamorgan Archive Service (ref GB 216 DD NAI/2/1/hub). These gasworks were marked on the 1869 and 1878 OS map and consisted of two buildings and three circular structures (gasometers). The Aberdare and Aberaman Gas Act of 1869 formed a new company, the Aberdare, and Aberaman Consumers Gas Company, who established a new gasworks. The Original Aberdare Gas company did not have Statutory power to dig up the roads to install or replace gas mains, so had to apply in 1871 through the Aberdare Gas Bill, at this time Mr. Robinson was the manager of the of Gasworks. The Tudor Place gasworks closed in the 1870’s and was replaced by a row of houses on Tudor place, with no evidence of the former gasworks.",English Description
710076,710076,"The Aberaman Gasworks were built on a former colliery tip associated with Tre-Aman Colliery. These gasworks were built by the Aberdare and Aberaman Gas Consumers Company which was formed in 1869 by Special Act and these gasworks were reported to have been built by 1871, although they don’t appear on OS maps until 1898. In 1913 the annual gas production of gas was 104m cu.ft., from 10,579 tons of coal, with cannel coal used to enrich the gas. The undertaking provided a meter, cooker and 4 gas lights free to consumers on slot meters. The company supplied 567 public gas streetlamps. The gasworks had four and 44 miles of mains. T.P. White was Chairman and A.E. Davey, Engineer, Manager & Secretary. The control of the company was acquired by the UKGC Corporation.<br><br>
In 1949 the annual gas production was 120 cu.ft.. D. E. West was Engineer & general Manager and J. R. Munro the Secretary. In 1950 c50m cu.ft. of coke oven gas was received from the NCB Phurnacite plant at Aberdare, this increased in 1951 and with supply from Nantgarw, it enabled coal gas production at Aberaman to cease. In 1952 the “Gas World Year Book”, showed that Aberdare was purchasing 86m cu.ft. of gas from coke ovens and 147m cu.ft. of gas was being made using horizontal retorts. D. T. Phillips was engineer and manager. Jones and Reeves reported that the opening of the Nantgarw coke ovens by the NCB allowed these works to close in 1951. The site now used by Rhondda Cynon Taff County Borough Council.  The gasworks were visible on the OS maps from 1898 to 2021. An additional gasholder to south east of river was constructed between 1964 and 1969.",English Description
710077,710077,"The gasworks were built west of the town c1865. On the 30th of May 1865, the partly built gasworks at Aberdovey were to be auctioned, whilst the gas mains to the town had already been laid JGL. The gasworks in Aberdovey were operated by the Dysynni Gas Co. Ltd. Slater's 1895 Directory listed George E. Woodford as Company Secretary to the Dysynni Gas Co. Ltd. As well as the Barmouth Gas Co. Ltd.; the Dolgelly Gas Co. Ltd.; and the Rhos Gas Co. Ltd. All these companies were run by the industrialist Henry Dyke Dennis, of New Hall in Ruabon, and the company offices of all of Dennis' companies were in High Street, Ruabon. Circa 1920 a photograph showed a single-lift column guided holder in a steel tank. The retort house chimney still stood, but the roof and part of the retort house walls had gone. The gasworks had closed c1900. The gas supply was maintained, with gas supply from the gasworks at Towyn which supplied a gasholder at the site. A spiral-guided holder of 40,000 cu.ft. capacity was still in use in 1977 but was demolished about late-1982.  The gasworks were visible on the OS maps from 1887 to 1902, with the gasholder station to the north visible from 1938 until 1982.",English Description
710078,710078,"A gas works was built as a private concern in 1823 by Thomas Davies who the commissioners contracted to light the town streets with gas (instead of the oil lamps used since 1796).  A report on the sanitary condition of the town of Abergavenny from 1847, stated the gasworks were built by Mr Simeon Broadmeadow, who used brick ovens (instead of iron), a steam powered exhauster to remove gas from the ovens and a novel method to purify the gas, which introduced air via the exhauster to precipitate sulphur in the gasometer tank. Both the brick oven and purifying method not overly successful and the gasworks had to revert to traditional methods at great expense. The exhauster concept became widely adopted and brick-built ovens (retorts) were also adopted in later years.  In 1854 an IA authorised the construction of a new gasworks. Mordecai Jones owned the gasworks and was chairman until his death in 1880. The company obtained SA in 1860 & 1871. In 1884 the Foundation date of the gasworks was quoted as ""Improvement Commission, 1863"", Edwin Tucker was the Chairman and Samuel Cross the Manager. In 1893	the gas undertaking was acquired by Urban District Council. A rail siding was constructed from the L&NWR by 1899. Biggs, Wall & Co advertised that they had supplied a manual charging machine (for horizontal retorts) to Abergavenny by 1906. In 1949, 130m cu.ft. of gas was made, D. Howells, Engineer & Manager and the gasworks was now using Vertical retorts. In 1952 the “Gas World Year Book”, showed that Abergavenny was purchasing 1m cu.ft. of gas from other works and was manufacturing 111m cu.ft. of gas using vertical retort plant. A. D. Howells was engineer and manager. A photograph of the site c1950, shows a vertical retort house, two GH, one spiral guided and one frame guided, 4 annular condensers and 4 box purifiers. In 1954 the HP gas mains from Pontypool were extended using 8"" diameter pipes from Blaenavon to Abergavenny, allowing the works to close. A further 3.5"" steel main was laid the 18.5 miles of 3.5"" from Abergavenny to Brecon.  The gasworks were visible on the OS maps from 1880 to 1969, the site was noted as 'Gasholder Station' in 1973.",English Description
710079,710079,"The Gas Company was formed in 1859 as a limited liability company, subscription to the share came from the local inhabitant as recorded in the Wrexham and Denbighshire Advertiser of the 26th February 1859 “ A Gas Company has been formed in this town under the Limited Liability Act, with the view of building Gas Works. The capital is to be £2,000, in shares of £5 each, the whole of which is subscribed by the inhabitants. The land, which is situate at the eastern end of the town, has been purchased, and several tenders have been received for the erection of the Works. Mr Jones, Brynffanigl, is to be the chairman of the directors, and Mr J. Edwards, draper, secretary, pro tern.” The gasworks originally built by W. C. Holmes, gas engineer of Huddersfield.  The town was lit by November 1859. According to Kelly’s directory in 1895 Edward Hugh Millward was Secretary. By 1900the gasworks also supplied Pensarn. In 1922 ""The Abergele Urban Council have kept the town in darkness at night for a month or so, as a mild protest against the charge of 8s.4d. per 1,000 cu.ft. by the Gas Company. Seeing there were no hopes of a reduction, they have now renewed the lighting"" (GJ 1922). In 1933 the annual gas sales were 6.5m cu.ft. to a population of 2,600. 485 consumers of whom 400 had cookers, 717 tons of coal was carbonised in horizontal retorts and the gasworks had two GH total 25,000 cu.ft.. F. H. Millward Manager & Secretary. In 1935 the ""Works Closed"" (Gas World Year Book) and the gas supply was abandoned. However, the Abergele Gas Coke & Water Co. Ltd. (which was in liquidation) was sold to the to the gas department of the Rhyl UDC in 1935 and the gas supply maintained (these records being held in the North East Wales Archive (GB 208 D-JLA/3/1/23). The gasworks were visible on the OS maps from 1872 to 1953.",English Description
710080,710080,"The first gasworks started on land north on Tondu Iron Works, shown on the 1875 OS map as having two gasholders. The site then spread east to land across the Feeder channel where further gasholder had been built by 1897. The Garw & Ogmore Gas Company was formed in 1891 by SA, with the first gas manufactured in 1895. The gasworks were evidently in operation privately before the formation of the company. An article in the Glamorgan Gazette of the 27th of December 1907, “proposes that the company may acquire by agreement the supply of gas in the district now supplied by the existing private gasworks belonging to North's Navigation Company, Limited, situated at Tondu.” The gasworks had a private siding into the works through the Tondu Iron Works. In 1914 the Garw and Ogmore Gas Company invited tenders for the purchase of the disused gas works plant at Pontycymmer (GW). (This appears to refer to obsolete plant for sale on the original site, then known as Pontycymmer). The Garw and Ogmore obtained a purified supply of gas from the Tondu Colliery plant in the interwar years but retained their horizontal retort plant. The Tondu coke ovens provided more gas than required and this was sold on to Bridgend, through a gas main which linked the Garw gasworks with those at Bridgend. The gasworks were visible on the OS maps from 1876 to 1948.",English Description
710081,710081,"The Garw and Ogmore Gas Co new gasworks opened at Pwllandras/ Brynmenin in 1913 and supplied Ogmore and Pontycymmer. In 1914 the annual gas production figures 30m cu.ft. from 2,673 tons of coal. The customers were primarily on slot meters (2,659) as opposed ordinary meters (410), they supplied 202 (incandescent) public gas lamps and operated 32 miles of mains. Sulphate made. Three gasholders (one large one at the new works and two at the old works site), capacities 12,000 cu.ft., 48,000 cu.ft. and 120,000 cu.ft. capacity. Wm. Johnson was the Chairman and S. Murray, the Engineer, Manager & Secretary. In May 1938 the Bridgend Gas undertaking stopped production in favour of a coke oven gas from Tondu coke oven via the Garw & Ogmore Company, who were supplied by the coke ovens. In 1949 the Garw & Ogmore Company were producing 6m cu.ft. plus purchasing 148m cu.ft. of coke oven gas, much of which was sold on to Bridgend. S. Murray was the Engineer, Manager & Secretary. In 1952 the “Gas World Year Book”, recorded that the Garw and Ogmore undertaking whose address was Aberkenfig was purchasing 171 m cu.ft. of coke oven gas and although not manufacturing, it was still listed as having horizontal retort plant. C.C. Evans was the Engineer, Manager and Secretary. These gasworks belonged to the Garw and Ogmore Gas Undertaking, whose records are held at the Glamorgan Archives.  The gasworks were visible on the OS maps from 1914 to 1972 OS maps.",English Description
710082,710082,"Kelly’s directory recorded that the Abersychan Gas Company was formed in 1870 and had a gasworks near Abersychan station. The company obtained a Provisional Order in 1873. In 1883 Henry Lewis was the Chairman. William White was both the Manager and Secretary. Capital £5,600. Supplies gas to Talywain, Garndiffaith, Varteg, Pontnewynydd and Cwmffrwdoer. In 1890, the company advertised in the Pontypool Free Press and Herald of the Hills for the provision of construction of a Gasholder Tank, Boundary Walls and other Works from Mr W. Steed, Secretary to the Company. In 1914 the company was making 33m cu.ft. gas, John Daniel was the Chairman. George Oliver, the Manager and Alfred Davies the Secretary. A provisional agreement was made in 1921 to sell the gas company to the Pontypool Gas Company, an application was made in March to the Board of Trade. The Consent was dated 10th August. Sold later that year but continued in production although the low-pressure networks were linked. Gas production at Abersychan gasworks ceased when Coke Oven Gas supplies were received from the Blaenavon Company in 1935. The site was retained as a gasholder station and features on OS maps from 1881 to 1987. The site was noted as disused by 1971.",English Description
710083,710083,"The Abertillery Gasworks were built for the Abertillery Gas and Water Company which was established in 1866. As its name suggests it supplied both gas and water. The Abertillery Gas & Water Act 1867 went before parliament in 1867 and given royal assent. The gasworks were built to the south and east of Abertillery. <br><br>
On the 3rd of October 1867, the undertaking was sold, and the Abertillery Gas & Water Co. was combined with the Brynmawr Gas Co., to form the Brynmawr & Abertillery Gas & Water Co. Ltd. 1868, 14th February. The leasehold premises and gasworks were transferred from Evan Griffith Williams to the Company.<br><br>
In 1893 the Brynmawr & Abertillery Gas & Water Co. Ltd agreed to sell the Abertillery gasworks and district mains to the Local Board which was set up in 1876. The company retained the Brynmawr portion of the business. The acquisition occurred in September 1894 and there was a subsequent SA, the annual gas production being 10m cu.ft.. By 1900, this had grown to 17m cu.ft., with 400 consumers of whom 120 has slot meters, the company supplied 305 public gas lamps, through 8 miles of gas mains. J. McBean was the Manager. The gasworks were extended in 1901 and 1908. By 1915, the undertaking was making 91m cu.ft. of coal gas and 10m cu.ft. of water gas. losses accounted for 19% of gas production, with sales of only 82m cu.ft.. Customers had 621 ordinary meters and 4,000 slot meters. The undertaking lighting 579 public lamps, all incandescent and had 19 miles of gas mains. The gasworks produced sulphate of ammonia fertiliser. Ernest D. Wooten, Engineer & Manager (The Gas and Water Companies' Directory and Statistics). A new Chamber Oven carbonising plant was built by Jenkins in 1937 and a new GH was also built. The annual gas production was now 97m cu.ft. (Gas Journal 1937). As the coke oven supplies started to falter from the coke ovens of the Blaenavon Companies Iron and Steel Works in 1948, a gas main was built from Abertillery to Blaina, to reinforce gas supplies. In 1949	Abertillery UDC annual gas production 166m cu.ft., Mr D. S. Davies, was Engineer & Manager. The gasworks was vested in the Wales Gas Board from the Abertillery UDC. In 1952 the “Gas World Year Book”, showed that Abertillery was manufacturing 183m cu.ft. of gas using inclined retorts.  D.S. Davis was the engineer and manager. In 1957 gas production at Abertillery ceased, when gas was then supplied through an extension of the South Wales Gas Grid. The holders remained in operation and were converted to automatic control.  The site was retained as a gasholder station and features on OS maps from 1880 to 1994.",English Description
