NUMLINK,ResourceID,OSGB_Grid_Reference,Geometry
710074,710074,ST2123195159,POINT (-3.1399065 51.649685)
710075,710075,SO0124101750,POINT (-3.4306164 51.705767)
710076,710076,SO0190001100,POINT (-3.4208996 51.700041)
710077,710077,SN5975396614,POINT (-4.0698079 52.549253)
710078,710078,SO2908014090,POINT (-3.0303438 51.820914)
710079,710079,SH9462677440,POINT (-3.5819998 53.283423)
710080,710080,SS8940084552,POINT (-3.5964716 51.548984)
710081,710081,SS8981784528,POINT (-3.5904526 51.54885)
710082,710082,SO2710003200,POINT (-3.0567757 51.722763)
710083,710083,SO2173503720,POINT (-3.1345462 51.726714)
710084,710084,SN5840081453,POINT (-4.0833004 52.412697)
710085,710085,SH4429492930,POINT (-4.3439907 53.410142)
710086,710086,SN6223813013,POINT (-3.9992069 51.798746)
710087,710087,SH9284036068,POINT (-3.5949637 52.911317)
710088,710088,SO1515500058,POINT (-3.2288981 51.692837)
710089,710089,SO1508400081,POINT (-3.2299307 51.693033)
710090,710090,ST1170167923,POINT (-3.27078 51.403437)
710091,710091,ST1400069000,POINT (-3.2379993 51.413473)
710092,710092,SH5997476009,POINT (-4.1007904 53.262544)
710093,710093,SO0952901389,POINT (-3.310616 51.703922)
710094,710094,SO1465108192,POINT (-3.2381847 51.765877)
710095,710095,SH6182367035,POINT (-4.0691982 53.182416)
710096,710096,SH7969756751,POINT (-3.7980151 53.094364)
710097,710097,ST1738097169,POINT (-3.1960309 51.6672)
710098,710098,ST1774396960,POINT (-3.1907341 51.665374)
710099,710099,SH7046545724,POINT (-3.9313646 52.993136)
710100,710100,SO2552208421,POINT (-3.0807359 51.76949)
710101,710101,SO1995807868,POINT (-3.1612244 51.76375)
710102,710102,SO0480928144,POINT (-3.3862632 51.943623)
710103,710103,SS9059280025,POINT (-3.5778799 51.508528)
710104,710104,SS9054080029,POINT (-3.5786301 51.508554)
710105,710105,SS9151779051,POINT (-3.5642568 51.499953)
710106,710106,SS7386294335,POINT (-3.823966 51.63364)
710107,710107,SJ2953653611,POINT (-3.0532341 53.075061)
710108,710108,SJ2900064800,POINT (-3.063714 53.17555)
710109,710109,SO0457651061,POINT (-3.3960578 52.14956)
710110,710110,ST2011476225,POINT (-3.1517381 51.479319)
710111,710111,SS8536094028,POINT (-3.6578094 51.633344)
710112,710112,SH4806961978,POINT (-4.2724484 53.133244)
710113,710113,ST1635187728,POINT (-3.2086482 51.58218)
710114,710114,ST1505987665,POINT (-3.227275 51.58142)
710115,710115,ST1841776311,POINT (-3.1761891 51.47985)
710116,710116,ST1867876035,POINT (-3.1723679 51.477406)
710117,710117,SN1752746023,POINT (-4.6644599 52.082407)
710118,710118,SN4073719799,POINT (-4.3138791 51.853996)
710119,710119,SJ2781542832,POINT (-3.0765022 52.977954)
710120,710120,ST5368894050,POINT (-2.6706801 51.643332)
710121,710121,ST5386391357,POINT (-2.6677955 51.619134)
710122,710122,SJ2921937754,POINT (-3.0544852 52.932502)
710123,710123,SN6878900967,POINT (-3.8997152 51.692075)
710124,710124,SH8300079300,POINT (-3.7569825 53.297694)
710125,710125,SJ3020069300,POINT (-3.0467486 53.216152)
710126,710126,SH7760078000,POINT (-3.8374605 53.284794)
710127,710127,SJ0812143404,POINT (-3.3698866 52.980077)
710128,710128,SS9958274502,POINT (-3.4468147 51.460555)
710129,710129,SO2156018427,POINT (-3.1404101 51.858894)
710130,710130,ST2140998443,POINT (-3.1380739 51.679231)
710131,710131,ST2135998641,POINT (-3.1388416 51.681004)
710132,710132,SS7836892288,POINT (-3.758181 51.616236)
710133,710133,ST2906695583,POINT (-3.026768 51.654541)
710134,710134,SJ0577966576,POINT (-3.4115551 53.187901)
710135,710135,SO0618907589,POINT (-3.360608 51.759102)
710136,710136,SO1720009134,POINT (-3.2014812 51.774728)
710137,710137,ST0009997025,POINT (-3.4457836 51.663095)
710138,710138,SM9485237529,POINT (-4.9898243 51.998205)
710139,710139,SJ2431373251,POINT (-3.135831 53.250853)
710140,710140,ST0308490985,POINT (-3.4009658 51.609328)
710141,710141,SS8429695763,POINT (-3.6737501 51.648719)
710142,710142,SS5876296508,POINT (-4.0428824 51.649574)
710143,710143,SM9581815318,POINT (-4.962614 51.799134)
710144,710144,SJ3229465949,POINT (-3.0146836 53.186306)
710145,710145,SO2301242748,POINT (-3.1247921 52.077718)
710146,710146,ST1558295050,POINT (-3.2215101 51.647884)
710147,710147,SN9622905509,POINT (-3.5042438 51.738648)
710148,710148,SJ4090253524,POINT (-2.8835874 53.07566)
710149,710149,SH2556582897,POINT (-4.6199172 53.314193)
710150,710150,SH2474181999,POINT (-4.6317758 53.305858)
710151,710151,SJ1968777688,POINT (-3.2062699 53.290046)
710152,710152,SN4055306165,POINT (-4.3102775 51.73146)
710153,710153,SO2902872339,POINT (-3.0432395 52.344513)
710154,710154,SH5763260388,POINT (-4.1289104 53.121603)
710155,710155,SS7256994977,POINT (-3.8428722 51.639117)
710156,710156,SH9850736597,POINT (-3.5108912 52.917172)
710157,710157,SN6292121335,POINT (-3.9926081 51.873691)
710158,710158,SN7625534354,POINT (-3.8037151 51.993805)
710159,710159,SO0606362452,POINT (-3.3774947 52.252195)
710160,710160,SH7855481357,POINT (-3.824444 53.315173)
710161,710161,SH6640073600,POINT (-4.0035033 53.242562)
