NUMLINK,ResourceID,NMRW_Name,Name_Type
710074,710074,Abercarn Gas Works,No preference
710075,710075,Aberdare and Aberaman Gas Works I,No preference
710076,710076,Aberdare and Aberaman second Gas Works,No preference
710077,710077,Aberdovey Gas Works (Dysynni Gas Co.Ltd.),No preference
710078,710078,Abergavenny Gas Works,No preference
710079,710079,Abergele Gas Works,No preference
710080,710080,Aberkenfig Gas Works I,No preference
710081,710081,Aberkenfig Gas Works II,No preference
710082,710082,Abersyschan Gas Works,No preference
710083,710083,Abertillery Gas Works,No preference
710084,710084,Aberystwyth Gas Works I,No preference
710085,710085,Amlwch Gas Works,No preference
710086,710086,Ammanford Gas Works,No preference
710087,710087,Bala Gas Works,No preference
710088,710088,Bargoed Gas Works,No preference
710089,710089,Bargoed Gas Holder Station,No preference
710090,710090,Barry Gas Works,No preference
710091,710091,Ty Verlons Gas Holder Station,No preference
710092,710092,Beaumaris Gas Works,No preference
710093,710093,Bedlinog Gas Holder Station,No preference
710094,710094,Tredegar Gas Works,No preference
710095,710095,Bethesda Gas Works,No preference
710096,710096,Betws-y-Coed Gas Works,No preference
710097,710097,Blackwood Gas Works I,No preference
710098,710098,Blackwood Gas Works II,No preference
710099,710099,Blaenau Ffestiniog Gas Works,No preference
710100,710100,Blaenavon Gas Works,No preference
710101,710101,Blaina Gas Works,No preference
710102,710102,Brecon Gas Works,No preference
710103,710103,Bridgend Gas Works I,No preference
710104,710104,Bridgend Gas Works II,No preference
710105,710105,Bridgend Gas Holder Station,No preference
710106,710106,Briton Ferry Gas Works,No preference
710107,710107,Brymbo Gas Works,No preference
710108,710108,Buckley Gas Works,No preference
710109,710109,Buith Wells Gas Works,No preference
710110,710110,Bute Dock Gas Works,No preference
710111,710111,Caerau Gas Holder Station,No preference
710112,710112,Caernarfon  Gas Works,No preference
710113,710113,Caerphilly Gas Works I,No preference
710114,710114,Caerphilly Gas Works II,No preference
710115,710115,Cardiff Gas Works I,No preference
710116,710116,"Bute Terrace Gas Works, Cardiff",No preference
710117,710117,Cardigan Gas Works,No preference
710118,710118,Carmarthen Gas Works,No preference
710119,710119,Cefn Mawr Gas Works,No preference
710120,710120,Chepstow Gas Works,No preference
710121,710121,Thornwell Holder Station,No preference
710122,710122,Chirk Gas Works,No preference
710123,710123,Clydach Gas Works,No preference
710124,710124,Colwyn Bay Gas Works,No preference
710125,710125,Connah’s Quay Gas Works,No preference
710126,710126,Conwy Gas Works I,No preference
710127,710127,Conwy Gas Works II,No preference
710128,710128,Cowbridge Gas Works,No preference
710129,710129,Crickhowell Gas Works,No preference
710130,710130,Crumlin Gas Works I,No preference
710131,710131,Crumlin Gas Works II,No preference
710132,710132,Cwmavon Gas Works,No preference
710133,710133,Signal Post Gas Works,No preference
710134,710134,Denbigh Gas Works,No preference
710135,710135,Dowlais Gas Works,No preference
710136,710136,Ebbw Vale Gas Works,No preference
710137,710137,Ferndale Gas Works,No preference
710138,710138,Fishguard Gas Works,No preference
710139,710139,Flint Gas Works,No preference
710140,710140,Britannia Gas Works,No preference
710141,710141,Glyncorrwg UDC Gas Works,No preference
710142,710142,Gowerton Gas Works,No preference
710143,710143,Haverfordwest Gas Works,No preference
710144,710144,Hawarden Gas Works,No preference
710145,710145,Hay on Wye Gas Works,No preference
710146,710146,Hengoed Gas Works,No preference
710147,710147,Hirwaun Gas Works,No preference
710148,710148,Holt Gas Works,No preference
710149,710149,Lighthouse Gas Works,No preference
710150,710150,Holyhead Gas Works I,No preference
710151,710151,Holywell-Greenfield Gas Works,No preference
710152,710152,Kidwelly Gas Works,No preference
710153,710153,Knighton Gas Works,No preference
710154,710154,Llanberis Gas Works,No preference
710155,710155,E.M.Edwards Gas Works,No preference
710156,710156,Llandderfel Gas Works,No preference
710157,710157,Llandeilo Gas Works,No preference
