NUMLINK,ResourceID,NMRW_Cultural_Period,Preferred_Period,Possible_Period
710074,710074,19th Century,No Preference,Not Applicable
710075,710075,19th Century,No Preference,Not Applicable
710076,710076,19th Century,No Preference,Not Applicable
710077,710077,19th Century,No Preference,Not Applicable
710078,710078,19th Century,No Preference,Not Applicable
710079,710079,19th Century,No Preference,Not Applicable
710080,710080,19th Century,No Preference,Not Applicable
710081,710081,20th Century,No Preference,Not Applicable
710082,710082,19th Century,No Preference,Not Applicable
710083,710083,19th Century,No Preference,Not Applicable
710084,710084,19th Century,No Preference,Not Applicable
710085,710085,19th Century,No Preference,Not Applicable
710086,710086,20th Century,No Preference,Not Applicable
710087,710087,19th Century,No Preference,Not Applicable
710088,710088,19th Century,No Preference,Not Applicable
710089,710089,19th Century,No Preference,Not Applicable
710090,710090,19th Century,No Preference,Not Applicable
710091,710091,20th Century,No Preference,Not Applicable
710092,710092,19th Century,No Preference,Not Applicable
710093,710093,19th Century,No Preference,Not Applicable
710094,710094,19th Century,No Preference,Not Applicable
710095,710095,19th Century,No Preference,Not Applicable
710096,710096,19th Century,No Preference,Not Applicable
710097,710097,19th Century,No Preference,Not Applicable
710098,710098,19th Century,No Preference,Not Applicable
710099,710099,19th Century,No Preference,Not Applicable
710100,710100,19th Century,No Preference,Not Applicable
710101,710101,19th Century,No Preference,Not Applicable
710102,710102,19th Century,No Preference,Not Applicable
710103,710103,19th Century,No Preference,Not Applicable
710104,710104,19th Century,No Preference,Not Applicable
710105,710105,20th Century,No Preference,Not Applicable
710106,710106,19th Century,No Preference,Not Applicable
710107,710107,19th Century,No Preference,Not Applicable
710108,710108,19th Century,No Preference,Not Applicable
710109,710109,19th Century,No Preference,Not Applicable
710110,710110,19th Century,No Preference,Not Applicable
710111,710111,20th Century,No Preference,Not Applicable
710112,710112,19th Century,No Preference,Not Applicable
710113,710113,19th Century,No Preference,Not Applicable
710114,710114,19th Century,No Preference,Not Applicable
710115,710115,19th Century,No Preference,Not Applicable
710116,710116,19th Century,No Preference,Not Applicable
710117,710117,19th Century,No Preference,Not Applicable
710118,710118,19th Century,No Preference,Not Applicable
710119,710119,19th Century,No Preference,Not Applicable
710120,710120,19th Century,No Preference,Not Applicable
710121,710121,20th Century,No Preference,Not Applicable
710122,710122,19th Century,No Preference,Not Applicable
710123,710123,20th Century,No Preference,Not Applicable
710124,710124,19th Century,No Preference,Not Applicable
710125,710125,19th Century,No Preference,Not Applicable
710126,710126,19th Century,No Preference,Not Applicable
710127,710127,20th Century,No Preference,Not Applicable
710128,710128,19th Century,No Preference,Not Applicable
710129,710129,19th Century,No Preference,Not Applicable
710130,710130,19th Century,No Preference,Not Applicable
710131,710131,19th Century,No Preference,Not Applicable
710132,710132,19th Century,No Preference,Not Applicable
710133,710133,19th Century,No Preference,Not Applicable
710134,710134,19th Century,No Preference,Not Applicable
710135,710135,19th Century,No Preference,Not Applicable
710136,710136,19th Century,No Preference,Not Applicable
710137,710137,19th Century,No Preference,Not Applicable
710138,710138,20th Century,No Preference,Not Applicable
710139,710139,19th Century,No Preference,Not Applicable
710140,710140,19th Century,No Preference,Not Applicable
710141,710141,19th Century,No Preference,Not Applicable
710142,710142,20th Century,No Preference,Not Applicable
710143,710143,19th Century,No Preference,Not Applicable
710144,710144,19th Century,No Preference,Not Applicable
710145,710145,19th Century,No Preference,Not Applicable
710146,710146,19th Century,No Preference,Not Applicable
710147,710147,19th Century,No Preference,Not Applicable
710148,710148,19th Century,No Preference,Not Applicable
710149,710149,19th Century,No Preference,Not Applicable
710150,710150,19th Century,No Preference,Not Applicable
710151,710151,19th Century,No Preference,Not Applicable
710152,710152,20th Century,No Preference,Not Applicable
710153,710153,19th Century,No Preference,Not Applicable
710154,710154,19th Century,No Preference,Not Applicable
710155,710155,20th Century,No Preference,Not Applicable
710156,710156,19th Century,No Preference,Not Applicable
710157,710157,19th Century,No Preference,Not Applicable
710158,710158,19th Century,No Preference,Not Applicable
710159,710159,20th Century,No Preference,Not Applicable
710160,710160,19th Century,No Preference,Not Applicable
710161,710161,19th Century,No Preference,Not Applicable
710162,710162,19th Century,No Preference,Not Applicable
710163,710163,19th Century,No Preference,Not Applicable
710164,710164,19th Century,No Preference,Not Applicable
710165,710165,19th Century,No Preference,Not Applicable
710166,710166,19th Century,No Preference,Not Applicable
710167,710167,20th Century,No Preference,Not Applicable
710168,710168,20th Century,No Preference,Not Applicable
710169,710169,19th Century,No Preference,Not Applicable
710170,710170,19th Century,No Preference,Not Applicable
710171,710171,19th Century,No Preference,Not Applicable
710172,710172,20th Century,No Preference,Not Applicable
710173,710173,19th Century,No Preference,Not Applicable
710174,710174,20th Century,No Preference,Not Applicable
710175,710175,19th Century,No Preference,Not Applicable
710176,710176,19th Century,No Preference,Not Applicable
710177,710177,19th Century,No Preference,Not Applicable
710178,710178,19th Century,No Preference,Not Applicable
710179,710179,19th Century,No Preference,Not Applicable
710180,710180,20th Century,No Preference,Not Applicable
710181,710181,19th Century,No Preference,Not Applicable
