NUMLINK,ResourceID,Location_Accuracy,Mapsheet,KMSQ
710074,710074,Grid reference taken at centre of site,ST29NW,ST2195
710075,710075,Grid reference taken at centre of site,SO00SW,SO0101
710076,710076,Grid reference taken at centre of site,SO00SW,SO0101
710077,710077,Grid reference taken at centre of site,SN59NE,SN5996
710078,710078,Grid reference taken at centre of site,SO21SE,SO2914
710079,710079,Grid reference taken at centre of site,SH97NW,SH9477
710080,710080,Grid reference taken at centre of site,SS88SE,SS8984
710081,710081,Grid reference taken at centre of site,SS88SE,SS8984
710082,710082,Grid reference taken at centre of site,SO20SE,SO2703
710083,710083,Grid reference taken at centre of site,SO20SW,SO2103
710084,710084,Grid reference taken at centre of site,SN58SE,SN5881
710085,710085,Grid reference taken at centre of site,SH49SW,SH4492
710086,710086,Grid reference taken at centre of site,SN61SW,SN6213
710087,710087,Grid reference taken at centre of site,SH93NW,SH9236
710088,710088,Grid reference taken at centre of site,SO10SE,SO1500
710089,710089,Grid reference taken at centre of site,SO10SE,SO1500
710090,710090,Grid reference taken at centre of site,ST16NW,ST1167
710091,710091,Grid reference taken at centre of site,ST16NW,ST1469
710092,710092,Grid reference taken at centre of site,SH57NE,SH5976
710093,710093,Grid reference taken at centre of site,SO00SE,SO0901
710094,710094,Grid reference taken at centre of site,SO10NW,SO1408
710095,710095,Grid reference taken at centre of site,SH66NW,SH6167
710096,710096,Grid reference taken at centre of site,SH75NE,SH7956
710097,710097,Grid reference taken at centre of site,ST19NE,ST1797
710098,710098,Grid reference taken at centre of site,ST19NE,ST1796
710099,710099,Grid reference taken at centre of site,SH74NW,SH7045
710100,710100,Grid reference taken at centre of site,SO20NE,SO2508
710101,710101,Grid reference taken at centre of site,SO10NE,SO1907
710102,710102,Grid reference taken at centre of site,SO02NW,SO0428
710103,710103,Grid reference taken at centre of site,SS98SW,SS9080
710104,710104,Grid reference taken at centre of site,SS98SW,SS9080
710105,710105,Grid reference taken at centre of site,SS97NW,SS9179
710106,710106,Grid reference taken at centre of site,SS79SW,SS7394
710107,710107,Grid reference taken at centre of site,SJ25SE,SJ2953
710108,710108,Grid reference taken at centre of site,SJ26SE,SJ2964
710109,710109,Grid reference taken at centre of site,SO05SW,SO0451
710110,710110,Grid reference taken at centre of site,ST27NW,ST2076
710111,710111,Grid reference taken at centre of site,SS89SE,SS8594
710112,710112,Grid reference taken at centre of site,SH46SE,SH4861
710113,710113,Grid reference taken at centre of site,ST18NE,ST1687
710114,710114,Grid reference taken at centre of site,ST18NE,ST1587
710115,710115,Grid reference taken at centre of site,ST17NE,ST1876
710116,710116,Grid reference taken at centre of site,ST17NE,ST1876
710117,710117,Grid reference taken at centre of site,SN14NE,SN1746
710118,710118,Grid reference taken at centre of site,SN41NW,SN4019
710119,710119,Grid reference taken at centre of site,SJ24SE,SJ2742
710120,710120,Grid reference taken at centre of site,ST59SW,ST5394
710121,710121,Grid reference taken at centre of site,ST59SW,ST5391
710122,710122,Grid reference taken at centre of site,SJ23NE,SJ2937
710123,710123,Grid reference taken at centre of site,SN60SE,SN6800
710124,710124,Grid reference taken at centre of site,SH87NW,SH8379
710125,710125,Grid reference taken at centre of site,SJ36NW,SJ3069
710126,710126,Grid reference taken at centre of site,SH77NE,SH7778
710127,710127,Grid reference taken at centre of site,SJ04SE,SJ0843
710128,710128,Grid reference taken at centre of site,SS97SE,SS9974
710129,710129,Grid reference taken at centre of site,SO21NW,SO2118
710130,710130,Grid reference taken at centre of site,ST29NW,ST2198
710131,710131,Grid reference taken at centre of site,ST29NW,ST2198
710132,710132,Grid reference taken at centre of site,SS79SE,SS7892
