NUMLINK,ResourceID,NMRW_Heritage_Resource_Type,Preference_Type,Possible_Type
710074,710074,GAS WORKS,No Preference,Not Applicable
710075,710075,GAS WORKS,No Preference,Not Applicable
710076,710076,GAS WORKS,No Preference,Not Applicable
710077,710077,GAS WORKS,No Preference,Not Applicable
710078,710078,GAS WORKS,No Preference,Not Applicable
710079,710079,GAS WORKS,No Preference,Not Applicable
710080,710080,GAS WORKS,No Preference,Not Applicable
710081,710081,GAS WORKS,No Preference,Not Applicable
710082,710082,GAS WORKS,No Preference,Not Applicable
710083,710083,GAS WORKS,No Preference,Not Applicable
710084,710084,GAS WORKS,No Preference,Not Applicable
710085,710085,GAS WORKS,No Preference,Not Applicable
710086,710086,GAS WORKS,No Preference,Not Applicable
710087,710087,GAS WORKS,No Preference,Not Applicable
710088,710088,GAS WORKS,No Preference,Not Applicable
710089,710089,GAS WORKS,No Preference,Not Applicable
710090,710090,GAS WORKS,No Preference,Not Applicable
710091,710091,GAS HOLDER,No Preference,Not Applicable
710092,710092,GAS WORKS,No Preference,Not Applicable
710093,710093,GAS HOLDER,No Preference,Not Applicable
710094,710094,GAS WORKS,No Preference,Not Applicable
710095,710095,GAS WORKS,No Preference,Not Applicable
710096,710096,GAS WORKS,No Preference,Not Applicable
710097,710097,GAS WORKS,No Preference,Not Applicable
710098,710098,GAS WORKS,No Preference,Not Applicable
710099,710099,GAS WORKS,No Preference,Not Applicable
710100,710100,GAS WORKS,No Preference,Not Applicable
710101,710101,GAS WORKS,No Preference,Not Applicable
710102,710102,GAS WORKS,No Preference,Not Applicable
710103,710103,GAS WORKS,No Preference,Not Applicable
710104,710104,GAS WORKS,No Preference,Not Applicable
710105,710105,GAS HOLDER,No Preference,Not Applicable
710106,710106,GAS WORKS,No Preference,Not Applicable
710107,710107,GAS WORKS,No Preference,Not Applicable
710108,710108,GAS WORKS,No Preference,Not Applicable
710109,710109,GAS WORKS,No Preference,Not Applicable
710110,710110,GAS WORKS,No Preference,Not Applicable
710111,710111,GAS HOLDER,No Preference,Not Applicable
710112,710112,GAS WORKS,No Preference,Not Applicable
710113,710113,GAS WORKS,No Preference,Not Applicable
710114,710114,GAS WORKS,No Preference,Not Applicable
710115,710115,GAS WORKS,No Preference,Not Applicable
710116,710116,GAS WORKS,No Preference,Not Applicable
710117,710117,GAS WORKS,No Preference,Not Applicable
710118,710118,GAS WORKS,No Preference,Not Applicable
710119,710119,GAS WORKS,No Preference,Not Applicable
710120,710120,GAS WORKS,No Preference,Not Applicable
710121,710121,GAS HOLDER,No Preference,Not Applicable
710122,710122,GAS WORKS,No Preference,Not Applicable
710123,710123,GAS WORKS,No Preference,Not Applicable
710124,710124,GAS WORKS,No Preference,Not Applicable
710125,710125,GAS WORKS,No Preference,Not Applicable
710126,710126,GAS WORKS,No Preference,Not Applicable
710127,710127,GAS WORKS,No Preference,Not Applicable
710128,710128,GAS WORKS,No Preference,Not Applicable
710129,710129,GAS WORKS,No Preference,Not Applicable
710130,710130,GAS WORKS,No Preference,Not Applicable
710131,710131,GAS WORKS,No Preference,Not Applicable
710132,710132,GAS WORKS,No Preference,Not Applicable
710133,710133,GAS WORKS,No Preference,Not Applicable
710134,710134,GAS WORKS,No Preference,Not Applicable
710135,710135,GAS WORKS,No Preference,Not Applicable
710136,710136,GAS WORKS,No Preference,Not Applicable
710137,710137,GAS WORKS,No Preference,Not Applicable
710138,710138,GAS WORKS,No Preference,Not Applicable
710139,710139,GAS WORKS,No Preference,Not Applicable
710140,710140,GAS WORKS,No Preference,Not Applicable
710141,710141,GAS WORKS,No Preference,Not Applicable
710142,710142,GAS WORKS,No Preference,Not Applicable
710143,710143,GAS WORKS,No Preference,Not Applicable
710144,710144,GAS WORKS,No Preference,Not Applicable
710145,710145,GAS WORKS,No Preference,Not Applicable
710146,710146,GAS WORKS,No Preference,Not Applicable
710147,710147,GAS WORKS,No Preference,Not Applicable
710148,710148,GAS WORKS,No Preference,Not Applicable
710149,710149,GAS WORKS,No Preference,Not Applicable
710150,710150,GAS WORKS,No Preference,Not Applicable
710151,710151,GAS WORKS,No Preference,Not Applicable
710152,710152,GAS WORKS,No Preference,Not Applicable
710153,710153,GAS WORKS,No Preference,Not Applicable
710154,710154,GAS WORKS,No Preference,Not Applicable
710155,710155,GAS WORKS,No Preference,Not Applicable
710156,710156,GAS WORKS,No Preference,Not Applicable
710157,710157,GAS WORKS,No Preference,Not Applicable
710158,710158,GAS WORKS,No Preference,Not Applicable
710159,710159,GAS WORKS,No Preference,Not Applicable
710160,710160,GAS WORKS,No Preference,Not Applicable
710161,710161,GAS WORKS,No Preference,Not Applicable
710162,710162,GAS WORKS,No Preference,Not Applicable
710163,710163,GAS WORKS,No Preference,Not Applicable
710164,710164,GAS WORKS,No Preference,Not Applicable
710165,710165,GAS WORKS,No Preference,Not Applicable
710166,710166,GAS WORKS,No Preference,Not Applicable
710167,710167,GAS WORKS,No Preference,Not Applicable
710168,710168,GAS HOLDER,No Preference,Not Applicable
710169,710169,GAS WORKS,No Preference,Not Applicable
710170,710170,GAS WORKS,No Preference,Not Applicable
710171,710171,GAS WORKS,No Preference,Not Applicable
710172,710172,GAS WORKS,No Preference,Not Applicable
710173,710173,GAS WORKS,No Preference,Not Applicable
710174,710174,GAS WORKS,No Preference,Not Applicable
710175,710175,GAS WORKS,No Preference,Not Applicable
710176,710176,GAS WORKS,No Preference,Not Applicable
710177,710177,GAS WORKS,No Preference,Not Applicable
710178,710178,GAS WORKS,No Preference,Not Applicable
710179,710179,GAS WORKS,No Preference,Not Applicable
710180,710180,GAS HOLDER,No Preference,Not Applicable
710181,710181,GAS WORKS,No Preference,Not Applicable
710182,710182,GAS WORKS,No Preference,Not Applicable
710183,710183,GAS WORKS,No Preference,Not Applicable
710184,710184,GAS WORKS,No Preference,Not Applicable
710185,710185,GAS HOLDER,No Preference,Not Applicable
710186,710186,GAS WORKS,No Preference,Not Applicable
710187,710187,GAS WORKS,No Preference,Not Applicable
710188,710188,GAS WORKS,No Preference,Not Applicable
710189,710189,GAS WORKS,No Preference,Not Applicable
710190,710190,GAS HOLDER,No Preference,Not Applicable
710191,710191,GAS WORKS,No Preference,Not Applicable
710192,710192,GAS WORKS,No Preference,Not Applicable
710193,710193,GAS WORKS,No Preference,Not Applicable
710194,710194,GAS WORKS,No Preference,Not Applicable
710195,710195,GAS WORKS,No Preference,Not Applicable
710196,710196,GAS WORKS,No Preference,Not Applicable
710197,710197,GAS WORKS,No Preference,Not Applicable
710198,710198,GAS WORKS,No Preference,Not Applicable
710199,710199,GAS WORKS,No Preference,Not Applicable
710200,710200,GAS WORKS,No Preference,Not Applicable
710201,710201,GAS WORKS,No Preference,Not Applicable
710202,710202,GAS WORKS,No Preference,Not Applicable
710203,710203,GAS WORKS,No Preference,Not Applicable
710204,710204,GAS WORKS,No Preference,Not Applicable
710205,710205,GAS WORKS,No Preference,Not Applicable
710206,710206,GAS WORKS,No Preference,Not Applicable
710207,710207,GAS WORKS,No Preference,Not Applicable
710208,710208,GAS WORKS,No Preference,Not Applicable
710209,710209,GAS WORKS,No Preference,Not Applicable
710210,710210,GAS WORKS,No Preference,Not Applicable
710211,710211,GAS WORKS,No Preference,Not Applicable
710212,710212,GAS WORKS,No Preference,Not Applicable
710213,710213,GAS WORKS,No Preference,Not Applicable
710214,710214,GAS WORKS,No Preference,Not Applicable
710215,710215,GAS WORKS,No Preference,Not Applicable
710216,710216,GAS WORKS,No Preference,Not Applicable
710217,710217,GAS WORKS,No Preference,Not Applicable
710218,710218,GAS WORKS,No Preference,Not Applicable
710219,710219,GAS WORKS,No Preference,Not Applicable
710220,710220,GAS WORKS,No Preference,Not Applicable
710221,710221,GAS WORKS,No Preference,Not Applicable
710222,710222,GAS WORKS,No Preference,Not Applicable
710223,710223,GAS WORKS,No Preference,Not Applicable
710224,710224,GAS WORKS,No Preference,Not Applicable
710225,710225,GAS WORKS,No Preference,Not Applicable
710226,710226,GAS HOLDER,No Preference,Not Applicable
710227,710227,GAS WORKS,No Preference,Not Applicable
710228,710228,GAS WORKS,No Preference,Not Applicable
710229,710229,GAS WORKS,No Preference,Not Applicable
710230,710230,GAS WORKS,No Preference,Not Applicable
710231,710231,GAS WORKS,No Preference,Not Applicable
710232,710232,GAS WORKS,No Preference,Not Applicable
710233,710233,GAS WORKS,No Preference,Not Applicable
710234,710234,GAS WORKS,No Preference,Not Applicable
710235,710235,GAS WORKS,No Preference,Not Applicable
710236,710236,GAS WORKS,No Preference,Not Applicable
710237,710237,GAS WORKS,No Preference,Not Applicable
710238,710238,GAS WORKS,No Preference,Not Applicable
710239,710239,GAS WORKS,No Preference,Not Applicable
710240,710240,GAS WORKS,No Preference,Not Applicable
710241,710241,GAS WORKS,No Preference,Not Applicable
710242,710242,GAS WORKS,No Preference,Not Applicable
710243,710243,GAS WORKS,No Preference,Not Applicable
710244,710244,GAS WORKS,No Preference,Not Applicable
710245,710245,GAS WORKS,No Preference,Not Applicable
710246,710246,GAS WORKS,No Preference,Not Applicable
710247,710247,GAS WORKS,No Preference,Not Applicable
710248,710248,GAS WORKS,No Preference,Not Applicable
710249,710249,GAS WORKS,No Preference,Not Applicable
710250,710250,GAS WORKS,No Preference,Not Applicable
710251,710251,GAS WORKS,No Preference,Not Applicable
710252,710252,GAS WORKS,No Preference,Not Applicable
710253,710253,GAS WORKS,No Preference,Not Applicable
710254,710254,GAS HOLDER,No Preference,Not Applicable
710255,710255,GAS WORKS,No Preference,Not Applicable
710256,710256,GAS WORKS,No Preference,Not Applicable
