NUMLINK,ResourceID,Description,Description_Type
96343,96343,"Fernside Mill is the only complete paper mill surviving in the Whitebrook valley. Which would have produced paper up until c1876 (opening of Wye Valley Railway), by which point all the paper mills had gone out of production. A gasometer was marked on the 1880 OS map indicating a private gasworks which would have lit the mill. ",English Description
91585,91585,"Cwm Coking works established in 1957, the works were designed to centralise and maintain the production of foundry coke in South Wales. The colliery which has originally been established in 1909 by Great Western Collieries, did not produce coal from the two deep seams until 1914. They produced low sulphur coal favoured for producing foundry coke, it was closed by the National Coal Board in 1986. The coking works continued in production importing coal form other mines, until it ceased production in 2002. As with other by-product coking works, it produces, manufactured gas, benzol, sulphate of ammonia and tar. Some of the clean gas was store in a 1m cubic feet spiral guided gasholder and sold to Wales Gas Board for use in the gas grid. There was a separate gasholder (250,000 cubic feet capacity) used to store untreated gas which was burnt in the adjacent Cwm Power plant. Tar was sent to the tar works in Caerphilly for distillation. Two gasholders were marked on the OS maps from 1960 and were still present in 2022.",English Description
85879,85879,"Leighton Hall was built between 1850-56 on the site of a medieval house by the Liverpool architect W.H. Gee for John Naylor, a Liverpool banker. The gasworks were built by W.C. Holmes of Huddersfield for John Naylor Esq. of Leighton Hall, Welshpool, as recorded in their book of 1874. The gasworks would have supplied gas to light the hall and wider estate.",English Description
85096,85096,"A Blast furnace and forge were established at Cwm-y-Felin by Richard Parsons in 1785. This was leased to George Croker Fox of Falmouth and his associates. In 1801 under Peter Prices’s management the works started to undertake precision engineering. In 1818 the company adopted the Neath Abbey Iron Works and Joseph Tregelles Price, succeeded his father as the managing partner and famous for producing gas plant, locomotives and other plant. The Neath Abbey Iron Works had an important role and long history in the development of the gas industry. It’s counting house was one of the first place to be lit by William Murdoch in 1795, he used “an iron retort with an iron tube some 3 or 4 feet in length, through which the gas from the coal when used in the retort issued, the end thereof was set fire to, and gave a strong and beautiful light, which continued burning a considerable time”. Their gasworks plant was supplied across the British Isles and Europe and they lit their own works by gas. A gasometer was marked on 1876 and 1877 OS maps at the works, which would have been associated with a gas plant which lit the works by gas. The surviving drawings of the Neath Abbey Ironworks, including gas plant are held by the West Glamorgan Archive Service.",English Description
81398,81398,"The castle-house designed by Robert Luger for Walter de Witton in 1841.  Private gasworks to the Castle. There is a surviving stone and brick house called Gas House Cottage, dating from about 1840. To the north-east of the house is an abandoned building of brick with a slate roof with large openings on its southern face. This was the Gas House, where gas was manufactured and to the southeast of this was the gasholder which stored the gas. Gas was manufactured to light the castle and estate from the mid-1800s. the gasworks were marked on the OS maps from 1889 to 1905. These gasworks were recorded as built by W.C. Holmes, gas engineer of Huddersfield for A. De Winton of Maesllwch Castle in his book of 1874.",English Description
417676,417676,"The Bargoed colliery was sunk in 1896, the coke oven were by-product coke ovens producing gas, which was sold for public supply, built c1920.It had 100 Koppers Regenerative and 50 Simplex by-product coke ovens. Sulphur was removed to produced sulphuric acid, tar was also extracted and processed in the works tar distillery. The site also had an electricity generating plant. The colliery closed in 1977.",English Description
417676,417676,"The Bargoed colliery was sunk in 1896, the coke oven were by-product coke ovens producing gas, which was sold for public supply, built c1920.It had 100 Koppers Regenerative and 50 Simplex by-product coke ovens. Sulphur was removed to produced sulphuric acid, tar was also extracted and processed in the works tar distillery. The site also had an electricity generating plant. The colliery closed in 1977.",English Description
415524,415524,"Caldicot & District Gas Light & Coke Co. Ltd. was formed c1908 when the gasworks was described as 'not yet ready to make gas' (30/9/1908). In 1915 Annual gas production 6,250,000 cu.ft.. of 15cp gas (14cp prescribed), they had 310 consumers, of whom 260 had slot meters and 271 had stoves, George Winstanley was the Chairman and J. L. Rust was the Manager & Secretary. The company came under the control of the Severn Valley Gas Corporation in the 1930s. In 1935	J. F. Rust, son of the late John Luff Rust, was reported to be Chairman of the Caldicot Gas Company, while Engineer of the Newport Gas Co. (Gas Journal 20/11/1935) However, the Gas Journal of 25/2/1948 reported that J. F. Rust had been elected a Director of Monmouth, Chepstow, and Caldicot Companies, while already a Director of Ross and Cowbridge (all presumably Severn Valley appointments). Caldicot was supplied from Newport, with coke oven gas. The gasworks were visible on the 1919 to 1972 OS maps.  Gwent Record Office holds the records of the Monmouth, Caldicot and Chepstow Gas Companies Records, ref: GB 0218 D514.",English Description
415260,415260,"Gasometer marked adjacent the southern end of the Patent Nut and Bolt Works, Cwmbran. This could have been a private gasworks, or a gasholder fed from the gasworks at Cwmbran, to the north. The Patent Nut and Bolt Co took over the works in 1885, in 1900 they became Guest & Keen, and in 1902 Guest, Keen & Nettlefold, or GKN. The gasometer only featured on the 1881 and 1882 OS maps.  The gas would have been used to light the works with gas. ",English Description
41173,41173,"The Greenfield Copper Mills were a large complex of copper-working factories established by the Parys Mine Company under the management of Thomas Williams. The 1870 to 1899 OS maps marked a gasometer adjacent the works, which by 1899 were shown as disused. The gasometer indicated a private gasworks to light the mill. The mill had become a flannel mill by the 1912 OS map. ",English Description
