ResourceID,OSGB_Grid_Reference,Geometry
544500,SM3655106706,POINT (-5.8138026 51.697104)
544501,SH2114594044,POINT (-4.6924943 53.412804)
544502,,POINT ( )
544503,SM4330005300,POINT (-5.7153268 51.687616)
544504,SN1380000300,POINT (-4.6941132 51.670535)
544505,SH2500080000,POINT (-4.6267908 53.287994)
544506,ST3288087000,POINT (-2.9699976 51.577849)
544507,SN1300000000,POINT (-4.7055079 51.667574)
544508,,POINT ( )
544509,,POINT ( )
544510,SN0167095710,POINT (-4.9248454 52.523073)
544511,ST0224565488,POINT (-3.4060068 51.379996)
544512,SG6000097000,POINT (-5.6129737 53.415061)
544513,SM3655106706,POINT (-5.8138026 51.697104)
544514,,POINT ( )
544515,ST2999879995,POINT (-3.0101846 51.514523)
544516,SH2175176123,POINT (-4.6733001 53.2521)
544517,SM7277004660,POINT (-5.2893452 51.694575)
544518,SN1750045900,POINT (-4.6647876 52.081294)
544519,SN1400000200,POINT (-4.6911711 51.669703)
544520,,POINT ( )
544521,SR5300079000,POINT (-5.5567945 51.455953)
544522,SR9109272942,POINT (-5.0057955 51.416902)
544523,SS9152468131,POINT (-3.5608044 51.401803)
544524,SS7325487558,POINT (-3.8302948 51.5726)
544525,SS3188381606,POINT (-4.4239146 51.508307)
544526,,POINT ( )
544527,SC7148904065,POINT (-3.9396946 53.5175)
544528,SH5200021000,POINT (-4.1950132 52.766262)
544529,SM3000041000,POINT (-5.9351455 52.001603)
544530,SS6460886836,POINT (-3.9546995 51.5641)
544531,SH6600083000,POINT (-4.013461 53.326903)
544532,,POINT ( )
544533,SR9109272942,POINT (-5.0057955 51.416902)
544534,SH7600587270,POINT (-3.8650016 53.367704)
544535,SM7855509099,POINT (-5.2086031 51.736736)
544536,SM7690007300,POINT (-5.2313787 51.719931)
544537,SS5000099001,POINT (-4.1705057 51.669702)
544538,SS4300099000,POINT (-4.2716464 51.66778)
544539,SM7099824006,POINT (-5.3277045 51.867503)
544540,SS6579968381,POINT (-3.9305092 51.398542)
544541,SC3486002628,POINT (-4.4908722 53.494361)
544542,SH2526683514,POINT (-4.6247405 53.319635)
544543,SJ2066880048,POINT (-3.1921477 53.311403)
544544,SS6952186128,POINT (-3.8835985 51.558897)
544545,SG9600067000,POINT (-5.0528966 53.160937)
544546,SS8537275350,POINT (-3.651544 51.465475)
544547,SS6952186128,POINT (-3.8835985 51.558897)
544548,SG6000028000,POINT (-5.5613985 52.796036)
544549,SG9500098000,POINT (-5.0878568 53.438801)
544550,SR9109272942,POINT (-5.0057955 51.416902)
544551,SR2500069000,POINT (-5.9511061 51.353347)
544553,SC7900009000,POINT (-3.8283879 53.563619)
