ResourceID,NMRW_Name,Name_Type
544500,Frederick Stonard,No preference
544501,Draupner,No preference
544502,Flora Ross,No preference
544503,Triton,No preference
544504,Beatrice Maclean,No preference
544505,Diana,No preference
544506,Queen Of The Bay,No preference
544507,Atlantic,No preference
544508,Elvira,No preference
544509,Buzulzo (ex Weston),No preference
544510,Foyle,No preference
544511,Griqualand West,No preference
544512,Glitner,No preference
544513,Emily Eliza,No preference
544514,Mourne,No preference
544515,Hövding,No preference
544516,Waesland,No preference
544517,Harry Russell,No preference
544518,Ezel,No preference
544519,Sarah S. Tyler,No preference
544520,Verajean,No preference
544521,St Vincent,No preference
544522,Tourquennois,No preference
544523,Racine,No preference
544524,Ethelwalda,No preference
544525,Sicié,No preference
544526,Port of London Authority,No preference
544527,Helvetia,No preference
544528,Poltalloch,No preference
544529,Marie,No preference
544530,St Christophe,No preference
544531,Kingswood,No preference
544532,Hookroad,No preference
544533,Rubis,No preference
544534,Jessie Sinclair,No preference
544535,Nidelv,No preference
544536,Tamura,No preference
544537,Newglyn,No preference
544538,Saint Caradec,No preference
544539,Emmanuel,No preference
544540,Fagernes,No preference
544541,Sonnia,No preference
544542,Varonis,No preference
544543,Mango,No preference
544544,Regina,No preference
544545,Anthippi N. Michalos,No preference
544546,Porthcarrack,No preference
544547,Foremost 49,No preference
544548,Ely,No preference
544549,Blush Rose,No preference
544550,B. P. Driver,No preference
544551,Arklow Bay,No preference
544553,Ardlough,No preference
