ResourceID,NPRN
544500,544500
544501,544501
544502,544502
544503,544503
544504,544504
544505,544505
544506,544506
544507,544507
544508,544508
544509,544509
544510,544510
544511,544511
544512,544512
544513,544513
544514,544514
544515,544515
544516,544516
544517,544517
544518,544518
544519,544519
544520,544520
544521,544521
544522,544522
544523,544523
544524,544524
544525,544525
544526,544526
544527,544527
544528,544528
544529,544529
544530,544530
544531,544531
544532,544532
544533,544533
544534,544534
544535,544535
544536,544536
544537,544537
544538,544538
544539,544539
544540,544540
544541,544541
544542,544542
544543,544543
544544,544544
544545,544545
544546,544546
544547,544547
544548,544548
544549,544549
544550,544550
544551,544551
544553,544553
