ResourceID,NMRW_RCAHMW_Class,Possible_RCCLASS
544500,18G,Not Applicable
544501,18G,Not Applicable
544502,18G,Not Applicable
544503,18G,Not Applicable
544504,18G,Not Applicable
544505,18G,Not Applicable
544506,18G,Not Applicable
544507,18G,Not Applicable
544508,18G,Not Applicable
544509,18G,Not Applicable
544510,18G,Not Applicable
544511,18G,Not Applicable
544512,18G,Not Applicable
544513,18G,Not Applicable
544514,18G,Not Applicable
544515,18G,Not Applicable
544516,18G,Not Applicable
544517,18G,Not Applicable
544518,18G,Not Applicable
544519,18G,Not Applicable
544520,18G,Not Applicable
544521,18G,Not Applicable
544522,18G,Not Applicable
544523,18G,Not Applicable
544524,18G,Not Applicable
544525,18G,Not Applicable
544526,18G,Not Applicable
544527,18G,Not Applicable
544528,18G,Not Applicable
544529,18G,Not Applicable
544530,18G,Not Applicable
544531,18G,Not Applicable
544532,18G,Not Applicable
544533,18G,Not Applicable
544534,18G,Not Applicable
544535,18G,Not Applicable
544536,18G,Not Applicable
544537,18G,Not Applicable
544538,18G,Not Applicable
544539,18G,Not Applicable
544540,18G,Not Applicable
544541,18G,Not Applicable
544542,18G,Not Applicable
544543,18G,Not Applicable
544544,18G,Not Applicable
544545,18G,Not Applicable
544546,18G,Not Applicable
544547,18G,Not Applicable
544548,18G,Not Applicable
544549,18G,Not Applicable
544550,18G,Not Applicable
544551,18G,Not Applicable
544553,18G,Not Applicable
