ResourceID,NMRW_Heritage_Resource_Type,Preference_Type,Possible_Type
544500,WRECK,No Preference,Not Applicable
544501,WRECK,No Preference,Not Applicable
544502,WRECK,No Preference,Not Applicable
544503,WRECK,No Preference,Not Applicable
544504,WRECK,No Preference,Not Applicable
544505,WRECK,No Preference,Not Applicable
544506,WRECK,No Preference,Not Applicable
544507,WRECK,No Preference,Not Applicable
544508,WRECK,No Preference,Not Applicable
544509,WRECK,No Preference,Not Applicable
544510,WRECK,No Preference,Not Applicable
544511,WRECK,No Preference,Not Applicable
544512,WRECK,No Preference,Not Applicable
544513,WRECK,No Preference,Not Applicable
544514,WRECK,No Preference,Not Applicable
544515,WRECK,No Preference,Not Applicable
544516,WRECK,No Preference,Not Applicable
544517,WRECK,No Preference,Not Applicable
544518,WRECK,No Preference,Not Applicable
544519,WRECK,No Preference,Not Applicable
544520,WRECK,No Preference,Not Applicable
544521,WRECK,No Preference,Not Applicable
544522,WRECK,No Preference,Not Applicable
544523,WRECK,No Preference,Not Applicable
544524,WRECK,No Preference,Not Applicable
544525,WRECK,No Preference,Not Applicable
544526,WRECK,No Preference,Not Applicable
544527,WRECK,No Preference,Not Applicable
544528,WRECK,No Preference,Not Applicable
544529,WRECK,No Preference,Not Applicable
544530,WRECK,No Preference,Not Applicable
544531,WRECK,No Preference,Not Applicable
544532,WRECK,No Preference,Not Applicable
544533,WRECK,No Preference,Not Applicable
544534,WRECK,No Preference,Not Applicable
544535,WRECK,No Preference,Not Applicable
544536,WRECK,No Preference,Not Applicable
544537,WRECK,No Preference,Not Applicable
544538,WRECK,No Preference,Not Applicable
544539,WRECK,No Preference,Not Applicable
544540,WRECK,No Preference,Not Applicable
544541,WRECK,No Preference,Not Applicable
544542,WRECK,No Preference,Not Applicable
544543,WRECK,No Preference,Not Applicable
544544,WRECK,No Preference,Not Applicable
544545,WRECK,No Preference,Not Applicable
544546,WRECK,No Preference,Not Applicable
544547,WRECK,No Preference,Not Applicable
544548,WRECK,No Preference,Not Applicable
544549,WRECK,No Preference,Not Applicable
544550,WRECK,No Preference,Not Applicable
544551,WRECK,No Preference,Not Applicable
544553,WRECK,No Preference,Not Applicable
