ResourceID,OSGB_Grid_Reference,Geometry,ResourceID
89ed97e9-e1ff-49cc-8736-661b3ec7acad,SH5920071150,POINT (-4.1102368 53.218692),89ed97e9-e1ff-49cc-8736-661b3ec7acad
e736b3ea-aee4-4d12-9c6c-ae6fe47493b5,ST1670073500,POINT (-3.2002448 51.454329),e736b3ea-aee4-4d12-9c6c-ae6fe47493b5
267d9b1c-8d2d-4afb-83c9-71303d7b8714,SH8085077600,POINT (-3.7885867 53.281941),267d9b1c-8d2d-4afb-83c9-71303d7b8714
e6f4ca78-a72d-4b4b-a2cf-6b15ef2bae94,SO2100011500,POINT (-3.1469568 51.796547),e6f4ca78-a72d-4b4b-a2cf-6b15ef2bae94
0f690d96-41c0-4e76-91fa-43d97f16ec48,SS6400098500,POINT (-3.9679958 51.668767),0f690d96-41c0-4e76-91fa-43d97f16ec48
b2109b36-7261-4509-b046-7936efc79675,SS9850082000,POINT (-3.4645426 51.527758),b2109b36-7261-4509-b046-7936efc79675
00138df4-f708-4b51-862e-1139c6d0d733,SM9535002300,POINT (-4.9617319 51.682074),00138df4-f708-4b51-862e-1139c6d0d733
67d0321a-9b43-44e3-827d-cf116a1c2e7d,ST2995093400,POINT (-3.0135539 51.635027),67d0321a-9b43-44e3-827d-cf116a1c2e7d
8b2d11ec-ae40-4ac8-b110-bd50e813147d,SJ3250056500,POINT (-3.0096072 53.101409),8b2d11ec-ae40-4ac8-b110-bd50e813147d
9a6d1501-eb10-47e9-bbb6-a3deaa4d3baf,SH6971046075,POINT (-3.9427477 52.996106),9a6d1501-eb10-47e9-bbb6-a3deaa4d3baf
5d97cd3f-c64a-4df1-8e6c-788d9481d080,SH4412092600,POINT (-4.3464428 53.407127),5d97cd3f-c64a-4df1-8e6c-788d9481d080
92d8ede5-3729-410e-a0e3-f602e2cc4de5,SS9975094100,POINT (-3.4499884 51.636742),92d8ede5-3729-410e-a0e3-f602e2cc4de5
900634a8-4e36-4e41-b8d8-99b956dac501,SJ1225058800,POINT (-3.3126062 53.119129),900634a8-4e36-4e41-b8d8-99b956dac501
231ad79d-94eb-4993-a760-a2997f773e0c,SM9820003450,POINT (-4.921229 51.693432),231ad79d-94eb-4993-a760-a2997f773e0c
892199ed-6fbf-4728-afbc-a4ac6a88dc27,SO0607003000,POINT (-3.3610914 51.717833),892199ed-6fbf-4728-afbc-a4ac6a88dc27
c95f29b6-abd4-46d3-8170-7858aeafde07,SJ2360072990,POINT (-3.1464522 53.248405),c95f29b6-abd4-46d3-8170-7858aeafde07
